SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,5.239,0.00844783547157913,0.58155,0.00213644634957585,0.18106,0.0225275085100436,0.14032,0.107677606732292,0.78888,0.0227159462175512,0.18461,0.0221668917267289,0.17808,0.0161448921506158
0.65,10,5.681,0.0100052807604295,0.62867,0.00254221046071969,0.15903,0.00965226485605152,0.26818,0.103312008400086,0.67764,0.0475437176084048,0.17457,0.00922068376535311,0.16141,0.0126225456854287
0.7,10,6.123,0.00792828823713636,0.67524,0.00287942165882885,0.15676,0.0107511275261638,0.29669,0.0625969851784601,0.6696,0.0261618659266871,0.18671,0.0124793514029311,0.17272,0.0166785460762
0.75,10,6.569,0.00658898236506859,0.72132,0.0031555368278391,0.14372,0.0166924674602265,0.34968,0.0906730556192824,0.63313,0.0466109654101465,0.18389,0.0165109633173855,0.16831,0.0108403067705046
0.8,10,7.052,0.00740929250999038,0.76631,0.00299553302426161,0.12323,0.0188477391194644,0.38311,0.122852097717058,0.60988,0.0772280150414622,0.168,0.02017730053278,0.15694,0.0109560738908995
0.85,10,7.498,0.00808802017117798,0.81052,0.00248205782873078,0.09302,0.0270891717911695,0.38705,0.127641028524092,0.60766,0.0810245908334004,0.13445,0.0270766120114883,0.13403,0.0171609093405585
0.9,10,7.999,0.00707766775822713,0.85435,0.00340125802967185,0.0684,0.0285145356630088,0.38989,0.127613682441117,0.6074,0.0814387172358257,0.10835,0.0239836900787197,0.11639,0.0177196696432962
0.95,10,8.546,0.00887072221563186,0.89775,0.00297847041366267,0.05036,0.0264807070282862,0.39911,0.130259621057302,0.60048,0.0863241262544542,0.093,0.0227096276383365,0.10675,0.0173845452436856
1,10,9.271,0.0080685039749403,0.92849,0.00235832433432542,0.04585,0.0240831111925989,0.40964,0.130829691202495,0.59036,0.0907803284507588,0.09366,0.0211722520991551,0.1088,0.0171807370655323
1.05,10,9.459,0.00503264102824343,0.93228,0.00250601098638886,0.04531,0.0275134549738476,0.41051,0.131633546552636,0.58949,0.0916671821325594,0.09405,0.0208752610542221,0.10909,0.0160263151750549
1.1,10,9.459,0.00503264102824343,0.93228,0.00250601098638886,0.04531,0.0275134549738476,0.41051,0.131633546552636,0.58949,0.0916671821325594,0.09405,0.0208752610542221,0.10909,0.0160263151750549
1.15,10,9.459,0.00503264102824343,0.93228,0.00250601098638886,0.04531,0.0275134549738476,0.41051,0.131633546552636,0.58949,0.0916671821325594,0.09405,0.0208752610542221,0.10909,0.0160263151750549
1.2,10,9.459,0.00503264102824343,0.93228,0.00250601098638886,0.04531,0.0275134549738476,0.41051,0.131633546552636,0.58949,0.0916671821325594,0.09405,0.0208752610542221,0.10909,0.0160263151750549
