SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,5.266,0.00964530998408166,0.57386,0.00349469783656235,0.29196,0.0257331847949454,0.0863,0.0196366324976575,0.89771,0.00623909280958974,0.30286,0.0232028621547744,0.2774,0.0209146807170907
0.65,10,5.748,0.0117661507851685,0.62066,0.00185109578473981,0.24808,0.0194629814920492,0.08948,0.031907901124894,0.90066,0.00641070999699082,0.28177,0.0169352418069465,0.25674,0.0227226353064372
0.7,10,6.195,0.00714106812026283,0.66834,0.00264595634993011,0.19813,0.0329779668563448,0.09824,0.0529841248027823,0.89207,0.0070174024151781,0.24721,0.0311359265564188,0.21991,0.0349524901573802
0.75,10,6.709,0.00935522738446068,0.71478,0.0032227449635347,0.15241,0.0559169640211518,0.13747,0.205518733386167,0.85614,0.0336236881184402,0.20618,0.0512491771058837,0.1803,0.0529061558709521
0.8,10,7.243,0.0093831796189779,0.76232,0.00357595379949618,0.10813,0.0711066995958578,0.25089,0.114903544534938,0.74526,0.0422948387219992,0.15336,0.0772069314637131,0.14892,0.0526522230138468
0.85,10,7.967,0.00648876209432389,0.80818,0.00303334547679566,0.08015,0.0380019705288224,0.37078,0.11139167964338,0.6279,0.0666624445236856,0.11641,0.0382615979533729,0.12403,0.026254407744204
0.9,10,8.936,0.00988615153029405,0.84457,0.00294038727972264,0.07335,0.033706510126497,0.39028,0.106342601944415,0.60927,0.0681164095854743,0.11355,0.0322969523198835,0.12239,0.0235440439057074
0.95,10,9.427,0.00535979538912079,0.85315,0.00313735473042596,0.07108,0.0347210857325143,0.39182,0.106104361923792,0.60818,0.0683577412755768,0.11196,0.03371861524616,0.12173,0.0242530368647082
1,10,9.482,0.00490902984404013,0.85407,0.00318560696764456,0.07089,0.0357521545015196,0.39182,0.106104361923792,0.60818,0.0683577412755768,0.11202,0.0340715681296885,0.12177,0.0246676333524857
1.05,10,9.525,0.00462420177494161,0.85477,0.00321332164407098,0.07078,0.0365503674989301,0.40064,0.11029929971468,0.59936,0.0737291635038868,0.11194,0.0347347344695175,0.12165,0.0244833926708862
1.1,10,9.559,0.00477894875594658,0.85495,0.00318859765037909,0.07076,0.0360615639382233,0.40183,0.109448355182451,0.59817,0.073523634690747,0.11194,0.0345774668495341,0.12164,0.0243826296840106
1.15,10,9.582,0.00480970938475682,0.85501,0.00316967649890986,0.07077,0.0359898693348482,0.40183,0.109448355182451,0.59817,0.073523634690747,0.11197,0.0345562340128709,0.12166,0.0243502141095322
1.2,10,9.584,0.00489870321056129,0.85506,0.00321897667789295,0.07078,0.0359154621177901,0.40183,0.109448355182451,0.59817,0.073523634690747,0.112,0.0344482905558784,0.12167,0.0243101100151708
