SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,5.613,0.0114050714209193,0.57684,0.00238127873432649,0.24902,0.00872904137089233,0.14407,0.0313304426893503,0.84814,0.00905884248661112,0.26638,0.0101645735028411,0.24908,0.00626646652770437
0.65,10,6.16,0.0114427548745246,0.62569,0.00231443274322547,0.20848,0.00865834960887314,0.1643,0.0392463276151047,0.83302,0.00811196023994859,0.23892,0.0105758009458741,0.22606,0.00648720190612108
0.7,10,6.93,0.0105066043916806,0.67221,0.00278194586592794,0.17301,0.00740852796113425,0.18282,0.0702443603500222,0.81629,0.0153333037259574,0.21017,0.00818103915515896,0.20261,0.00749388472384463
0.75,10,7.797,0.00922521524533576,0.71662,0.00299272369922962,0.14675,0.00809300082790478,0.34411,0.0248920943928329,0.65572,0.0130040699539374,0.1899,0.00820520896306045,0.17221,0.00427692997516754
0.8,10,8.48,0.0121866016980517,0.76215,0.00303129028832912,0.12447,0.0164016007641146,0.39553,0.0281568351401342,0.6043,0.0185201013666274,0.17222,0.0174882779946238,0.15581,0.0101979573750248
0.85,10,9.9,0.0151813201797392,0.80268,0.00261926842775368,0.10708,0.0234212659813047,0.41057,0.03805604367157,0.58926,0.0267776526183066,0.15677,0.0250194006594279,0.14356,0.0113394296789632
0.9,10,11.481,0.0102096027000485,0.83864,0.00284518894404933,0.0824,0.0335229923487396,0.41058,0.0378826455185316,0.58942,0.0263884099572439,0.12614,0.0317108053485535,0.1219,0.0112602303625324
0.95,10,12.238,0.00781985586103547,0.87943,0.00321207606159493,0.0523,0.0504529696915473,0.47256,0.0413151215769435,0.52744,0.0370162935166093,0.0881,0.0402413055494066,0.09242,0.0226937096128557
1,10,12.923,0.00774693240476032,0.92097,0.00311489903460437,0.03474,0.0368067157206542,0.63729,0.0466030855122573,0.36271,0.0818827172289334,0.06171,0.0417231973349944,0.05824,0.0271427999856042
1.05,10,13.938,0.00885613305786362,0.95025,0.00234313438642626,0.02589,0.0644994143691233,0.74302,0.0675786672132845,0.25698,0.195393810073993,0.04687,0.0807372267221038,0.04583,0.0376414862687954
1.1,10,14.729,0.00651141109266896,0.95926,0.00246701630088833,0.02313,0.0744332816932248,0.74989,0.0702565168660508,0.25011,0.210645953511186,0.04338,0.0900972543244774,0.04352,0.0410568018268242
1.15,10,14.808,0.0069754731102079,0.96,0.00252466849370098,0.023,0.0734497237555374,0.74989,0.0702565168660508,0.25011,0.210645953511186,0.04336,0.0890527473954528,0.04347,0.0403343209759907
1.2,10,14.813,0.00700443234541675,0.96006,0.00252491424903701,0.02297,0.0736780830120298,0.74989,0.0702565168660508,0.25011,0.210645953511186,0.04335,0.0891524331530778,0.04347,0.040300704833987
