SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,5.466,0.0139820780481249,0.57719,0.00286286453955017,0.24284,0.0222604689208158,0.14219,0.0332457499614747,0.85105,0.00894352789288666,0.24985,0.0264739323532539,0.23906,0.0192069305531097
0.65,10,6.1,0.012126877602294,0.62354,0.00263458055715933,0.20777,0.0136023279599013,0.16702,0.0454077601336015,0.83051,0.0105676080450602,0.22926,0.0147071319022883,0.22023,0.0116591733351937
0.7,10,6.752,0.0110985007423072,0.66905,0.00306108698497234,0.17513,0.0147440289148437,0.21753,0.0785302616375462,0.78222,0.0221942630285285,0.20611,0.0137502245900875,0.19849,0.0169008773125348
0.75,10,7.305,0.00614774015202836,0.71467,0.00295267152246891,0.14443,0.031569600305258,0.32857,0.0679413631479869,0.67125,0.0330340461770519,0.18151,0.0334954203672592,0.17037,0.022279475348957
0.8,10,8.173,0.0136880854183953,0.75811,0.00225468639972194,0.1242,0.0284350061550291,0.36423,0.0460920302199611,0.6356,0.0263574122782451,0.16687,0.0304593562756151,0.15555,0.0204829994765267
0.85,10,9.645,0.0144593334086582,0.7965,0.00239171587857763,0.10615,0.0234888961653498,0.3858,0.0562454655540206,0.6142,0.0353296981614151,0.15075,0.0245844441621176,0.14218,0.0139751919854944
0.9,10,10.853,0.00860668845670898,0.83452,0.00328098946672103,0.08186,0.0326742227866861,0.41183,0.0691409154283064,0.58817,0.0484116891389214,0.12364,0.0320676582033032,0.12313,0.0236759632846087
0.95,10,11.52,0.00847284833752011,0.87588,0.00293739602022456,0.05907,0.0322311198891689,0.52333,0.0636210041764746,0.47667,0.0698487006014107,0.09587,0.0386765854750802,0.09419,0.04517300732353
1,10,12.289,0.00895447825301179,0.91513,0.00247187896845897,0.04662,0.0381572548307178,0.59769,0.0590204216656243,0.40231,0.0876834178253759,0.08133,0.0488451113348345,0.07718,0.0480556022918377
1.05,10,13.419,0.0100334590203586,0.9413,0.00259346609531329,0.03488,0.067570489829317,0.62461,0.0688199582077764,0.37539,0.114509267951089,0.06524,0.0762984984439118,0.06432,0.0363600408254832
1.1,10,13.806,0.00833519651520707,0.94747,0.00390985375279147,0.03232,0.0810287184740662,0.63486,0.074905252344444,0.36514,0.130235932802196,0.06218,0.0804928442669387,0.06162,0.0342771348268909
1.15,10,13.826,0.00863132203288538,0.94768,0.00396269358412834,0.03226,0.0820308291756002,0.64596,0.0731390517129035,0.35404,0.133445096159946,0.0621,0.0817855728970646,0.06128,0.035609225413403
1.2,10,13.826,0.00863132203288538,0.94768,0.00396269358412834,0.03226,0.0820308291756002,0.64596,0.0731390517129035,0.35404,0.133445096159946,0.0621,0.0817855728970646,0.06128,0.035609225413403
