SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,2.81,0.0126921918696817,0.56633,0.00244723869520319,0.06693,0.051994778517338,0.40245,0.0861267489849615,0.41809,0.0892298430541314,0.06972,0.0482952650993336,0.06961,0.0285589923197917
0.65,10,3.193,0.0147847077661636,0.61263,0.00240413117323685,0.06491,0.0616735124869123,0.42867,0.100759553892001,0.45383,0.0816091299741186,0.07279,0.0562783926166842,0.0717,0.0322313895305186
0.7,10,3.656,0.013754225949523,0.65946,0.00211381300597089,0.06107,0.0556405397294147,0.46221,0.107383754422718,0.4468,0.099323318826486,0.0728,0.0504004346536886,0.0716,0.0289414832339118
0.75,10,4.17,0.0142393047637432,0.7074,0.00241791935214354,0.05645,0.0497862651522498,0.49476,0.10502656098935,0.43551,0.106045633167332,0.0717,0.0445037152757174,0.06982,0.0246680532023249
0.8,10,4.794,0.0151658675437393,0.7534,0.00244815190323392,0.0513,0.0572646416880594,0.53158,0.117453705105652,0.421,0.142674695616076,0.06938,0.0534714896961295,0.06798,0.0298976800659917
0.85,10,5.542,0.0148257483207672,0.79972,0.00260883039505317,0.04619,0.0612325119669314,0.5776,0.118204070718246,0.38918,0.172891914366552,0.06615,0.0603168992413852,0.06466,0.034771143988257
0.9,10,6.431,0.0139845808772637,0.84541,0.00267202433985682,0.04235,0.0615119475490568,0.60836,0.128407323950397,0.37198,0.209371668219668,0.06408,0.0674756979888008,0.06145,0.0389229579773816
0.95,10,7.545,0.0134607411317386,0.88979,0.00286047945173257,0.03489,0.0652306863412071,0.63406,0.136403331734105,0.35892,0.240919608978006,0.05675,0.0722911432347115,0.05507,0.0502691521096864
1,10,9.084,0.0148311472173215,0.93308,0.00285155353561366,0.02712,0.0629844660516686,0.66014,0.139320677963859,0.33969,0.27086641554074,0.04855,0.0808429274868403,0.04706,0.0720825181954141
1.05,10,11.298,0.0149118321657501,0.96955,0.00235987788124455,0.0175,0.09538648401809,0.70267,0.14621663360114,0.29733,0.345548857944078,0.03633,0.134233147414176,0.03586,0.144407153095227
1.1,10,12.011,0.00591602043642116,0.97556,0.00212353249513625,0.01559,0.117346910219379,0.72006,0.153022674646825,0.27994,0.39360401195325,0.03407,0.155911044643822,0.03324,0.167730584003977
1.15,10,12.011,0.00591602043642116,0.97556,0.00212353249513625,0.01559,0.117346910219379,0.72006,0.153022674646825,0.27994,0.39360401195325,0.03407,0.155911044643822,0.03324,0.167730584003977
1.2,10,12.011,0.00591602043642116,0.97556,0.00212353249513625,0.01559,0.117346910219379,0.72006,0.153022674646825,0.27994,0.39360401195325,0.03407,0.155911044643822,0.03324,0.167730584003977
