SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,25,6.9756,0.00694930504831948,0.571348,0.00149086258768934,0.239204,0.0127593929689334,0.101432,0.0670941933048369,0.88854,0.00719448240556404,0.243368,0.0130048921666024,0.232552,0.0114549559284919
0.65,25,7.5208,0.00725964576993247,0.619,0.00171161280991339,0.202256,0.0117985322882474,0.149544,0.0410715099922772,0.842184,0.00855415516759148,0.222504,0.0110558694243231,0.216096,0.0109357639796515
0.7,25,8.12,0.00724674130982841,0.66596,0.00182021901305122,0.173624,0.0131605339966699,0.189828,0.072451307047064,0.803288,0.0181592716588257,0.2058,0.0125763578599657,0.199868,0.0103119955947906
0.75,25,8.8712,0.00740430335420657,0.711568,0.00170301147824994,0.147244,0.0135926973848934,0.336044,0.034228787403405,0.661888,0.0177699005798411,0.186488,0.0129841170591367,0.173384,0.0105625336137909
0.8,25,10.0728,0.00780804262200348,0.753124,0.00160557020672849,0.13178,0.0113735979589165,0.384944,0.0273940387780217,0.613576,0.0170400210202742,0.179048,0.0109089754072857,0.162268,0.00876238373134966
0.85,25,11.3372,0.00830465787175273,0.79466,0.00184962847941544,0.109004,0.014811317198711,0.402596,0.0218987734219936,0.596896,0.0150088794917232,0.157784,0.0144146904107573,0.145804,0.00815492522194791
0.9,25,12.6092,0.00697639935226018,0.835804,0.00194975238302624,0.081504,0.0175546811249066,0.417364,0.0254796660170793,0.582396,0.0184163306984122,0.125632,0.0156721314387291,0.122992,0.0140218411625284
0.95,25,13.9688,0.006211020415571,0.876312,0.0019006809245662,0.056528,0.0224113672888245,0.481204,0.0283570783270323,0.51868,0.0262581899546479,0.094504,0.0188102971977461,0.096516,0.015496677825522
1,25,15.438,0.00689059674885742,0.914272,0.00181882871479341,0.03502,0.0316701844974967,0.613104,0.0258385219835194,0.386896,0.04094563185503,0.062772,0.0295957374814548,0.061336,0.0360554730508689
1.05,25,17.4268,0.00827217913644259,0.94202,0.00135113190235053,0.028344,0.0297670479232131,0.662128,0.0254396927764202,0.337872,0.0498541841249513,0.053888,0.0281619331456212,0.049688,0.0199288540271139
1.1,25,19.7144,0.00734654504180646,0.961012,0.0014797074162388,0.020856,0.0397866776050495,0.775448,0.0324557463190461,0.224552,0.112079801434018,0.038368,0.0395902506120555,0.037324,0.0324779724339519
1.15,25,21.3376,0.00863896494725135,0.971024,0.00146171032105997,0.01698,0.0468641674436017,0.781892,0.0340135805281959,0.218108,0.121934759414383,0.032736,0.0437330342484958,0.033884,0.0342923209112036
1.2,25,22.1376,0.00860455990067758,0.974992,0.00122070197833444,0.015584,0.0474364770861817,0.784032,0.0346281011152546,0.215968,0.125710935757127,0.031148,0.0479805158659922,0.032724,0.0353045973065945
