SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,25,5.9828,0.00753141920289793,0.57476,0.00150290461113727,0.257008,0.00851681112542649,0.111824,0.0698777143196401,0.878276,0.00868303184589227,0.27538,0.00886771045991017,0.25768,0.00714401694713823
0.65,25,6.532,0.00677190637363321,0.623464,0.00148842286163319,0.214008,0.00936635449604808,0.157336,0.0400568644938724,0.834208,0.00838193191467676,0.246232,0.00958096828089659,0.232508,0.00753654597742048
0.7,25,7.3016,0.00689216105263497,0.670244,0.00157651403104171,0.180388,0.00991823799834181,0.167952,0.0227249730085601,0.826896,0.00545417727440132,0.220756,0.00946545558613458,0.211524,0.00617158561732735
0.75,25,8.3236,0.00608431523738176,0.71414,0.00172900012190805,0.151956,0.0111326280644287,0.30652,0.0399449297852452,0.6912,0.018142379936662,0.19646,0.0102642533439052,0.181192,0.00847319083179672
0.8,25,9.0748,0.00640965495083864,0.758984,0.00170273178386815,0.126016,0.0127462454154845,0.390536,0.0229206052760309,0.608268,0.0152693235489685,0.173372,0.0116455181493109,0.15748,0.00775191878928518
0.85,25,9.9776,0.00661926132451252,0.802824,0.00165848017377173,0.10144,0.013744735714542,0.4164,0.023837041199147,0.5832,0.0172911332113902,0.148036,0.0126201981356204,0.137544,0.00657822711203888
0.9,25,11.2816,0.00791694478532923,0.8439,0.00149733945897951,0.0752,0.0174491452119678,0.416652,0.0250521606257059,0.583104,0.0180084920188815,0.11662,0.015259911882778,0.114716,0.00833801821940345
0.95,25,13.2184,0.00918035407814261,0.881156,0.00150857778274386,0.052892,0.0239112713620849,0.45042,0.0310438574130078,0.54958,0.0254426548563758,0.090768,0.0171939695787205,0.095984,0.0112023394858533
1,25,15.1796,0.00716996855003758,0.916088,0.00182569200908297,0.035056,0.0320777128273301,0.607128,0.0251071928188637,0.392872,0.0387996084264877,0.063364,0.0301866324783033,0.061884,0.0359669333421627
1.05,25,17.1016,0.00796366811035066,0.944332,0.00127645616849054,0.028448,0.0302107041660175,0.674652,0.0249168194279062,0.325348,0.0516683122707864,0.054132,0.028161280981973,0.049656,0.0221487653071765
1.1,25,19.482,0.00793148934103527,0.962844,0.00141975366095411,0.020392,0.0429267995969011,0.778188,0.0327983534360803,0.221812,0.115067196832076,0.0377,0.0437741195442727,0.036788,0.0320132642578925
1.15,25,21.2316,0.00794745654906173,0.971788,0.0013167298973824,0.016724,0.0457281996950787,0.780364,0.0336191336813652,0.219636,0.119448367463098,0.032572,0.0453608957632179,0.033652,0.0356397593526997
1.2,25,22.0916,0.00896155715543513,0.975492,0.00119669017880741,0.015408,0.0489589719996911,0.783604,0.0345801766738918,0.216396,0.125220266374463,0.030952,0.0496168714114189,0.032724,0.0353824146370242
