SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,25,6.6136,0.00701288390098891,0.573256,0.0016862477717896,0.231612,0.00883359187789266,0.13484,0.03123111401008,0.85494,0.00696750495746325,0.23514,0.008097703569306,0.224864,0.00956830364374105
0.65,25,7.1504,0.00576388702480854,0.62088,0.00154587007547499,0.197292,0.00950827212211754,0.16072,0.0253379889164856,0.835092,0.00657259601631982,0.21694,0.0082251022721167,0.2102,0.00884513362396347
0.7,25,7.6512,0.0070284349539125,0.668388,0.00165600616764435,0.1658,0.0110328809701066,0.22936,0.0577789089611134,0.770008,0.0172916766858179,0.195652,0.0114356622108012,0.188512,0.0111772603759284
0.75,25,8.578,0.0090401044050415,0.71282,0.00179170369703342,0.14502,0.0106979425514799,0.356312,0.0195414946294649,0.643616,0.0108063993187978,0.183688,0.0100801216380509,0.166656,0.00812516235781764
0.8,25,9.8148,0.00815275146973297,0.7532,0.00149750771454822,0.133952,0.00980027900577098,0.370456,0.02302217704769,0.629472,0.0135085788662899,0.181996,0.0102823470417461,0.16408,0.00944189897296929
0.85,25,11.0696,0.00705620630891551,0.79362,0.001771250050745,0.115812,0.0127366566633304,0.389192,0.0150104576058563,0.61074,0.00959984701644238,0.168556,0.0118761420273642,0.151652,0.0107482232212035
0.9,25,12.026,0.00433253594913895,0.833976,0.00186062433946136,0.088304,0.0194332639637888,0.40256,0.0197400468302541,0.59744,0.0133010063805354,0.135984,0.0180202229216269,0.12822,0.0151696066204388
0.95,25,12.4188,0.00466703917276822,0.878016,0.00197752036062293,0.054348,0.031400524232267,0.494064,0.0347068339752757,0.505936,0.0338924235894671,0.090408,0.0297409519430143,0.090536,0.03092929568828
1,25,12.9728,0.00474058217667596,0.920036,0.00167748006727746,0.034904,0.0249564042785624,0.64448,0.0222622222695951,0.35552,0.0403565397398421,0.061844,0.0251186830051614,0.05812,0.0220211027707752
1.05,25,14.1224,0.00631150063828236,0.948316,0.00142983031542335,0.026504,0.0377958864779944,0.748352,0.0292612582866599,0.251648,0.0870172668224605,0.047232,0.0430844468211263,0.046328,0.0271738495180131
1.1,25,14.7288,0.00386927949779556,0.959072,0.001634722998893,0.0226,0.0446728375141952,0.757268,0.0297152936784997,0.242732,0.0927048803344021,0.04184,0.0482504780114723,0.04288,0.023565615260368
1.15,25,14.7952,0.00392324049847922,0.960228,0.00168243913929208,0.022352,0.0456963078753644,0.757268,0.0297152936784997,0.242732,0.0927048803344021,0.041648,0.0490091871689169,0.04276,0.0238779272583952
1.2,25,14.7996,0.00393796203989186,0.960304,0.00170428172602953,0.022328,0.0459873509140721,0.757268,0.0297152936784997,0.242732,0.0927048803344021,0.04162,0.0493044011100341,0.042756,0.0239768821689275
