SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,25,5.8588,0.00863198340033591,0.573784,0.00190258645671336,0.247072,0.0155255194272478,0.110252,0.0714389881106813,0.880332,0.0087601921556521,0.254244,0.0161647468296551,0.244112,0.0125025871107979
0.65,25,6.5336,0.00769100586410939,0.619792,0.0018705087049855,0.209304,0.0131712312518694,0.158752,0.0475100106234654,0.832896,0.00972837586040105,0.231284,0.0130320528368279,0.222512,0.00826911314016071
0.7,25,7.34,0.00732266104457005,0.664388,0.00170827575125022,0.18316,0.0130325732627842,0.190068,0.0740906831478128,0.805212,0.0168412537547076,0.21598,0.0132423286143663,0.207176,0.0124337373019446
0.75,25,8.0532,0.00729430270343441,0.710092,0.00169101895844267,0.152676,0.02206174025416,0.302732,0.0434212450583719,0.695116,0.018933454605743,0.192104,0.0228911121962634,0.178676,0.015840979629048
0.8,25,8.7556,0.00649580653192416,0.7551,0.00165744722905607,0.122372,0.019349675335002,0.3574,0.0179854873061854,0.641616,0.00999692925999003,0.164108,0.019039559978775,0.153776,0.0130251307382996
0.85,25,9.798,0.00684537246769679,0.797424,0.00176868994148278,0.09878,0.0198040061376554,0.378056,0.0280538303812864,0.62176,0.0170962549305656,0.141412,0.0178171223508464,0.136308,0.0104658847273351
0.9,25,11.2432,0.00816349646625742,0.837716,0.00183913923741473,0.076504,0.0234291822888539,0.402644,0.0356359059484175,0.597356,0.0240201550075577,0.117852,0.0198346941439995,0.117472,0.0145277871787098
0.95,25,13.2172,0.00911340987656747,0.873916,0.00177956994117234,0.060156,0.0248792463709089,0.490232,0.0306352648617125,0.509768,0.0294612199347292,0.099112,0.0230904585189185,0.096372,0.0255733280236959
1,25,15.0296,0.00829423815157512,0.909196,0.0015484674578847,0.045368,0.0236953254451378,0.546888,0.0248553067667404,0.453112,0.0299993577902354,0.080568,0.0213284785177327,0.0729,0.023828265074682
1.05,25,16.9184,0.00854277196408977,0.93978,0.0013279740821268,0.034176,0.0252216534621879,0.641928,0.0363411879611541,0.358072,0.0651500985989625,0.063656,0.0253113882806385,0.056796,0.0293293162426094
1.1,25,19.1404,0.00786591454340241,0.961428,0.00154996631000698,0.022428,0.0427099194964562,0.746444,0.0471464277425174,0.253556,0.138794460039737,0.042184,0.0456030828393698,0.040684,0.0448613868363374
1.15,25,20.8692,0.00888805362308942,0.971388,0.00139307849411724,0.01778,0.0502754518153951,0.751792,0.0484974059244647,0.248208,0.146892774587302,0.035368,0.0519779072209494,0.036228,0.0509510670321759
1.2,25,21.6024,0.00908791548584885,0.97484,0.00122804972933683,0.016196,0.0479229439367745,0.753352,0.0485736876392474,0.246648,0.14836157086375,0.033084,0.0485982507878767,0.035096,0.0523010564383223
