parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,97,1.02327319587629,0.00486622219018233,0.00475554544943894,0.218403092783505,0.000287464948488732,0.00131621281010743,0.0262762886597938,0.000173770748404406,0.00661321507973454
1.5,97,1.07536597938144,0.00484302738657183,0.00450360851973164,0.271387628865979,0.0003622482432536,0.00133480013354806,0.0363783505154639,0.000217096242586933,0.0059677318930293
2,97,1.14955670103093,0.00481612091067167,0.004189546201899,0.320578350515464,0.000437093255427893,0.00136345219421425,0.0454958762886598,0.000258038277211861,0.00567168495831741
2.5,97,1.24299484536082,0.00480528356047162,0.00386589178419055,0.366637113402062,0.000503670081463893,0.00137375640122815,0.0538474226804124,0.000294421961335809,0.00546770758339207
3,97,1.3550618556701,0.00479303410687777,0.00353713307390497,0.410540206185567,0.000566740581893313,0.00138047522107285,0.0618185567010309,0.000320740445334085,0.00518841691638421
3.5,97,1.48245567010309,0.00477227480994727,0.00321916864442591,0.451817525773196,0.000623052770769456,0.00137899203821991,0.0691876288659794,0.000348716629976413,0.00504015870600072
4,97,1.62670721649485,0.00478153478180682,0.00293939482982675,0.491448453608247,0.000679183308534794,0.00138200314508711,0.0763247422680412,0.000368198480660351,0.00482410381901183
5,97,1.95696288659794,0.00488966231953412,0.00249859736892328,0.564174226804124,0.000788503350496553,0.00139762384212974,0.0891278350515464,0.000401819530816499,0.00450835062451713
6,97,2.35085051546392,0.00505545884846184,0.00215048077927839,0.629981443298969,0.000868530809244231,0.00137866094070338,0.100324742268041,0.000429944766922322,0.00428553073950216
7,97,2.80266082474227,0.00534831244240442,0.00190829814124806,0.687661855670103,0.000932250717278017,0.00135568187996929,0.109073195876289,0.00044879391113254,0.00411461227964352
8,97,3.31887422680412,0.00581163065030214,0.00175108493216339,0.738301030927835,0.000955352089831493,0.00129398720821355,0.115641237113402,0.000461351678138769,0.00398950832466753
9,97,3.83352268041237,0.00744412531190661,0.00194184981608244,0.76859793814433,0.000682122076664944,0.000887488819332291,0.115654639175258,0.000508055160794048,0.00439286451816399
10,97,4.2680793814433,0.00918793832373947,0.00215271027143653,0.770928865979381,0.000743571099052415,0.000964513240930197,0.108776288659794,0.000549639277032398,0.00505293280184836
11,97,4.64099278350515,0.012283934161248,0.00264683328207428,0.771705154639175,0.00073900434804924,0.000957625258308369,0.107049484536082,0.000518106621166589,0.00483987964455778
12,97,5.00326597938144,0.0119404484052869,0.00238653080897432,0.771864948453608,0.000753694558828664,0.000976459107695786,0.112590721649485,0.00051239756840962,0.00455097507949907
13,97,5.40719690721649,0.0135357843860416,0.00250329045128292,0.771437113402062,0.000758948853321757,0.000983811693962672,0.120129896907216,0.000588155489532143,0.00489599595666356
14,97,5.85053092783505,0.0135484298478228,0.00231576074290343,0.770624742268041,0.000754662709433419,0.000979286892881685,0.132711340206186,0.000714992278739152,0.00538757484950654
15,97,6.28183711340206,0.0156391960094642,0.00248958954636034,0.76950206185567,0.000759799934091095,0.000987391680613333,0.146012371134021,0.000713400216413003,0.00488588885224111
16,97,6.73034742268041,0.0158189222657141,0.00235038717502255,0.768062886597938,0.000761483101034526,0.000991433272355397,0.157341237113402,0.000756021145402712,0.00480497776217317
17,97,7.19297525773196,0.0172707451925515,0.00240105722232071,0.766364948453608,0.000759968569639266,0.000991653612515487,0.166631958762887,0.000744239834248194,0.00446636911534618
18,97,7.64171030927835,0.0207093091487987,0.00271003588341396,0.764550515463918,0.000752193747046578,0.000983837865298094,0.173727835051546,0.000709820284078466,0.00408581781881905
19,97,7.95055670103093,0.027342468019537,0.00343906333200436,0.763535051546392,0.00072945064536381,0.000955359736120103,0.180475257731959,0.000698810133198029,0.00387205505053717
20,97,8.1338,0.0329359566024148,0.00404927052575854,0.763639175257732,0.000717863845362242,0.000940056336318732,0.18370412371134,0.000623191188690201,0.0033923636339783
21,97,8.25545257731959,0.0374336930222094,0.00453442045382853,0.763858762886598,0.00072009127890793,0.000942702124914726,0.184617525773196,0.000496540287269531,0.00268956202933591
22,97,8.34976804123711,0.041231186248436,0.00493800379181877,0.763801030927835,0.000719453596897224,0.000941938499380212,0.182952577319588,0.000467272137067588,0.00255406151645157
23,97,8.47520309278351,0.0379256513126454,0.00447489586944984,0.763175257731959,0.000729088543304899,0.000955335666242169,0.18650824742268,0.000838900652972989,0.00449792791774941
24,97,8.65964639175258,0.0329793734485692,0.00380839724356166,0.761883505154639,0.000724591285838011,0.000951052596539599,0.19740206185567,0.0012399422022541,0.00628130319713011
25,97,8.93347835051546,0.0327301614812628,0.00366376457154276,0.760388659793814,0.000723487028904716,0.000951470040467063,0.208876288659794,0.00113382008464361,0.00542818953706282
30,97,10.4049030927835,0.028634731942274,0.00275204215617675,0.751749484536082,0.000726646233904212,0.000966606893455521,0.242722680412371,0.000718541353403421,0.00296033873794844
35,97,11.8656298969072,0.0333995630860697,0.00281481584848481,0.742935051546392,0.000679844625493252,0.000915079486528709,0.274470103092784,0.000630779311376498,0.00229817129176822
40,97,13.5069835051546,0.0421747953591537,0.00312244368574661,0.735222680412371,0.000662445741475947,0.00090101374607268,0.292592783505155,0.000604844511733449,0.00206718875458114
45,97,15.0218164948454,0.0559148855372295,0.0037222452794851,0.727101030927835,0.000671089208310665,0.000922965557419586,0.307065979381443,0.000601641508041216,0.00195932323487339
50,97,16.5087762886598,0.0591567061389299,0.00358334894752713,0.718483505154639,0.000681073169414692,0.000947931531522223,0.320343298969072,0.000648316665728394,0.00202381840923411
55,97,18.0590670103093,0.0622577250714957,0.00344744969582066,0.709510309278351,0.000681235509309952,0.000960148852527376,0.333201030927835,0.000673862088136131,0.00202238896518323
60,97,19.2198659793814,0.0647795188142299,0.00337044591693426,0.70060824742268,0.000684926729764678,0.000977617280818932,0.344963917525773,0.000696493030400545,0.00201903154218588
