parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,5,1.64984,0.0172447255982808,0.0104523624098584,0.338,0.00174978718706019,0.00517688516881712,0.07304,0.00212060768648989,0.0290335115894016
2,5,2.46674,0.0353514458793414,0.0143312411844545,0.5143,0.00185009880817212,0.00359731442382291,0.05686,0.00344625747151892,0.0606095228898861
3,5,3.32324,0.0502533297857962,0.0151217877089215,0.63682,0.0011912543976834,0.00187062968764077,0.05958,0.00304488381387533,0.0511058041939465
4,5,4.35402,0.0588586857807748,0.0135182396453794,0.72926,0.00104561912759854,0.00143380841894323,0.07104,0.00151136208765471,0.0212748041618062
5,5,5.47454,0.0593399702810843,0.0108392614322088,0.79566,0.00102333775460499,0.00128614955458989,0.07508,0.0018556966993558,0.0247162586488519
6,5,6.64844,0.080784975500151,0.0121509670689893,0.84546,0.00139228996979795,0.00164678396352039,0.07108,0.00216080555349157,0.0303996279331959
7,5,7.7695,0.0934783159796966,0.0120314455215518,0.87964,0.0012891377583486,0.00146552880536196,0.06558,0.00350418182176667,0.0534336965807666
8,5,8.97932,0.0875632582984433,0.00975165806524807,0.90712,0.00151237847115065,0.00166723087480229,0.05844,0.00259328073297127,0.0443750981001244
9,5,9.7389,0.097531262204485,0.0100146076255517,0.92148,0.00195352129243578,0.00211998230285604,0.05538,0.00311350179701249,0.0562206897257582
10,5,10.28944,0.165226042313432,0.0160578265010955,0.92688,0.00162739025436435,0.00175577232690785,0.05246,0.00338722933383614,0.0645678485290914
11,5,10.53338,0.18615199857063,0.0176725797959089,0.92852,0.00158432996563217,0.00170629600399794,0.0496,0.00180383901720747,0.0363677221211183
12,5,10.70892,0.191179352468408,0.0178523466856049,0.92946,0.00137842495624536,0.00148303849143089,0.04828,0.00182227304210977,0.0377438492566233
16,5,11.06668,0.137045666797021,0.0123836296700565,0.93046,0.00167989266323772,0.00180544318212252,0.04712,0.00270905751876921,0.0574927317226063
20,5,11.14388,0.141771779174277,0.0127219405785308,0.93196,0.00177008727468451,0.00189931678900865,0.04524,0.00309506280388621,0.0684142971681303
24,5,11.29344,0.128311734949536,0.0113616165623172,0.9332,0.00164102455801247,0.00175849181098636,0.04498,0.00239521302601668,0.053250623077294
28,5,11.4779,0.107703810175871,0.00938358150671035,0.93548,0.00182016368494705,0.00194570026611691,0.0437,0.00254120632771131,0.0581511745471695
32,5,11.72534,0.106776342417972,0.00910646023211031,0.93718,0.00209123825519712,0.00223141579546845,0.0428,0.00250389520547486,0.0585022244269828
36,5,12.03794,0.108839394739956,0.00904136378316856,0.93888,0.00244599833197002,0.00260522998889104,0.04104,0.0024009799999167,0.0585034113040132
40,5,12.27084,0.115940098537822,0.00944842394960918,0.93974,0.00268855994167882,0.00286096148049335,0.04098,0.00228186429044323,0.0556823887370237
44,5,12.41834,0.118609130768925,0.00955112605782457,0.94022,0.00240481696600801,0.00255771730659634,0.043,0.00243466400145893,0.0566200930571844
48,5,12.58464,0.0948177140800181,0.00753440019579568,0.93958,0.00228354720555544,0.0024303914574123,0.04514,0.00227866332747951,0.0504799142108886
