parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
2,45,1.16848444444444,0.00835443552407228,0.00714980465832765,0.235897777777778,0.000522981689576102,0.00221698438409524,0.0202688888888889,0.000279890083925254,0.0138088518546611
2.5,45,1.29848666666667,0.00971800336694734,0.00748409946472099,0.288682222222222,0.000720750233399204,0.00249669074822482,0.0274911111111111,0.000360267423805488,0.0131048695103443
3,45,1.49242444444444,0.01182137880043,0.00792092279407181,0.347975555555556,0.000944598402091899,0.00271455390187915,0.0366577777777778,0.000468502532959481,0.0127804400964941
3.5,45,1.76198888888889,0.0147687602054112,0.00838186909040295,0.408,0.00115873146242786,0.00284002809418593,0.0472622222222222,0.000617808830845155,0.0130719378352605
4,45,2.12274666666667,0.0179613005407951,0.00846134907327384,0.467466666666667,0.00129950491893776,0.00277988787565122,0.0577933333333333,0.000760646937836736,0.0131614996741851
5,45,3.10004888888889,0.0259050157795099,0.00835632491873206,0.57268,0.00161765649972765,0.00282471275359302,0.07314,0.000901578480199919,0.0123267497976472
6,45,4.38380222222222,0.038397378056704,0.00875892116256096,0.659015555555556,0.00171746540188998,0.00260610753025722,0.0810844444444444,0.000986215771574991,0.0121628233174947
7,45,5.86304444444444,0.0483192781243972,0.00824132898569145,0.727815555555556,0.00173151773111157,0.00237906117545107,0.0839711111111111,0.000953745068583509,0.0113580141546717
8,45,7.51011555555556,0.0594042275380681,0.00790989527373174,0.784633333333333,0.0016601843830908,0.00211587287024615,0.0835644444444444,0.000966928428415988,0.0115710507602169
9,45,9.25386666666667,0.072528210613554,0.00783761137112637,0.831191111111111,0.00175621566129524,0.0021128903302967,0.0812288888888889,0.00108633909140007,0.0133738021812172
10,45,11.0660577777778,0.0846052461280328,0.00764547301550622,0.867562222222222,0.00161942689761618,0.00186664063525967,0.0765777777777778,0.00105945333128327,0.0138349970713138
11,45,12.5618533333333,0.0920001846578384,0.00732377478199913,0.891802222222222,0.00144750887269155,0.00162312768080416,0.0731933333333333,0.00102455044706733,0.0139978656580835
12,45,13.0741311111111,0.118434218826371,0.00905866843615471,0.901853333333333,0.00130804091370232,0.00145039205972403,0.0724044444444444,0.00101951130530201,0.0140807834812444
13,45,13.2866422222222,0.120864969190228,0.00909672791430165,0.907713333333333,0.00136204509692616,0.00150052339974386,0.0722911111111111,0.000912560470662103,0.012623411877838
14,45,13.6917977777778,0.103656196294849,0.00757067829785556,0.91028,0.00136497636550376,0.00149951263952164,0.0718444444444444,0.000986247248192815,0.0137275367054367
15,45,14.1551177777778,0.0998529202587281,0.00705419211809653,0.911786666666667,0.00116408727223251,0.00127671012835515,0.0721511111111111,0.00103662222222222,0.0143673771097696
16,45,14.6227222222222,0.0989801812961858,0.00676892987447749,0.913248888888889,0.00144192393335596,0.00157889481268386,0.0723266666666667,0.00102942462619179,0.0142329886559838
17,45,14.79288,0.120537828898572,0.00814836792420218,0.91426,0.0013615720884034,0.00148926135716689,0.0722222222222222,0.00103851585805411,0.0143794503422876
18,45,14.84882,0.128182100954023,0.00863247725772307,0.915771111111111,0.0011983348713645,0.00130855282157848,0.07296,0.000924821807788731,0.0126757374971043
19,45,14.8710666666667,0.12324664335823,0.00828768010532061,0.917573333333333,0.00136238408028802,0.00148476860736437,0.0737866666666667,0.00114292768561508,0.0154896234949641
20,45,14.9655666666667,0.105667769043251,0.00706072622552999,0.918542222222222,0.00146078470580807,0.00159032940508059,0.0763177777777778,0.00147151427878984,0.0192814088884322
21,45,15.2901133333333,0.104554496518321,0.00683804588226211,0.918262222222222,0.00148611680888552,0.00161840133778897,0.0824311111111111,0.00172974490630782,0.0209841270242767
22,45,15.7570622222222,0.118965581512435,0.007549984878822,0.91696,0.00148584406865715,0.00162040227344393,0.09068,0.00191601626529862,0.0211294250694599
23,45,16.3711666666667,0.117127732594339,0.0071545134796546,0.913986666666667,0.0013604059619886,0.00148843086185277,0.0971444444444444,0.00179904145471415,0.0185192417847734
24,45,16.9869777777778,0.108132676931029,0.00636562185137412,0.910953333333333,0.00149677511708042,0.00164308649226132,0.101906666666667,0.00161471291578535,0.0158450174910247
25,45,17.5418688888889,0.104494517722564,0.00595686345533863,0.908257777777778,0.00144497334677301,0.00159092867919987,0.106533333333333,0.00176746125070036,0.0165906875847968
