parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
3.5,400,1.24799275,0.00239782636859397,0.00192134639291292,0.233352,0.000234714328971542,0.00100583808568833,0.025394,0.000121345885450597,0.00477852585061815
4,400,1.418044,0.00271000550398612,0.00191108703537135,0.3083265,0.000327065267514047,0.00106077572804818,0.04401025,0.000187522779046716,0.00426088874856916
5,400,2.15873375,0.00406422042856606,0.00188268721354176,0.4645185,0.000395390867973949,0.000851184329523904,0.07813075,0.000257262743544007,0.00329272077311439
6,400,3.339109,0.0065052586337829,0.00194820194063234,0.5772835,0.000449123265016351,0.000777994287064071,0.088807,0.000278324583604461,0.00313403879879357
7,400,4.80078125,0.0097706584340094,0.0020352225867424,0.65822625,0.000481255591036103,0.000731140076890131,0.09138225,0.000291256130534079,0.00318722870726075
8,400,6.54696625,0.0146173655362036,0.00223269297229133,0.7215705,0.000526048848488894,0.000729033197018024,0.090381,0.00031149893309496,0.00344650903502904
9,400,8.5822915,0.0207781236019704,0.00242104612759545,0.77322775,0.00054579841387753,0.000705870183626403,0.0863815,0.000329857443243529,0.00381861212462771
10,400,10.549489,0.0248818059704434,0.00235857926108491,0.811756,0.000549545230857201,0.000676983269427268,0.08056725,0.000374702332799334,0.00465080206658828
11,400,12.48996025,0.0276201020731442,0.00221138430549803,0.8417055,0.000568931799921048,0.000675927387810877,0.07652325,0.000387321805984672,0.00506149184704874
12,400,14.02555225,0.0261948431807128,0.00186765146311531,0.862589,0.000510251207399484,0.000591534563273453,0.073227,0.000409891436307097,0.00559754511733509
13,400,14.88337125,0.0260360079400786,0.00174933538260551,0.87406175,0.000447238538168176,0.000511678423370175,0.071897,0.000379848930746782,0.00528323755854601
14,400,15.42215375,0.0258194793905287,0.00167418116879614,0.880817,0.000428177407829323,0.000486113923583813,0.07101775,0.000369738633472966,0.00520628481573924
15,400,16.04240875,0.0256630143267667,0.0015996983200398,0.884133,0.00039218061979189,0.000443576497870671,0.072787,0.000396868914962054,0.0054524697399543
16,400,16.5019475,0.025837607930672,0.00156573082847779,0.88602825,0.000373446615252916,0.00042148386945102,0.07761775,0.000407137327013096,0.00524541521769306
17,400,16.75801875,0.0302153604906286,0.00180303894758613,0.8888685,0.000387663743178851,0.000436131714847417,0.0793365,0.000352878693465268,0.00444787321680775
18,400,16.88814275,0.0308126476275268,0.00182451368890323,0.89243575,0.000423126863297356,0.000474125855331722,0.077728,0.000505316493854499,0.00650108704526681
19,400,17.180789,0.0321483941209901,0.0018711826401564,0.89326025,0.000497937761588524,0.000557438620590723,0.0852975,0.00114924189939861,0.0134733362572011
20,400,17.6755445,0.0363706213339396,0.00205768039190756,0.890718,0.000593126751768252,0.000665897345476629,0.107996,0.0019650742869722,0.018195806205528
21,400,18.48394525,0.0450305084274116,0.00243619572652714,0.8843825,0.000731743928103124,0.000827406612074666,0.140411,0.00161860523320803,0.011527624140616
22,400,19.36626725,0.0659890049330412,0.00340741992667902,0.87634175,0.00102524487658811,0.00116991445014244,0.15531975,0.00143401539430982,0.00923266612462239
