parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,400,1.179397,0.00228078079190346,0.00193385330970272,0.29975625,0.000120898629604934,0.000403323132061245,0.0138065,8.20166193256832e-05,0.0059404352533722
1.5,400,1.42976525,0.00260884595138634,0.00182466733709351,0.38287975,0.000160584823609469,0.000419413206390436,0.01945175,0.000112184234381929,0.00576730805104576
2,400,1.76682525,0.00329687837700022,0.00186599007287235,0.45445575,0.000198038239055164,0.000435770125155559,0.0260815,0.000141557393555319,0.0054275020054567
2.5,400,2.17617925,0.00429177851161493,0.00197216222497063,0.51604325,0.000238073618103397,0.000461344311941677,0.032481,0.000173325935901527,0.00533622535948792
3,400,2.6488495,0.00549594705282152,0.00207484307916381,0.56978375,0.000277655442239592,0.000487299685608078,0.0383415,0.00020576497362751,0.00536663859336515
3.5,400,3.1736615,0.00691076704034986,0.00217753753522544,0.6165285,0.000311028744573355,0.000504483968824401,0.04350675,0.000234171893503506,0.00538242671547533
4,400,3.749533,0.00847408358326044,0.00226003707215284,0.65764325,0.000337688409146553,0.000513482665786584,0.04774825,0.000257798626678933,0.00539912199251141
5,400,5.02043575,0.0117991538746293,0.00235022505260213,0.7250245,0.000382744054070492,0.000527904993652617,0.05237425,0.00027002141537228,0.00515561397771385
6,400,6.43233075,0.0149466224799388,0.00232367131928637,0.7784075,0.000424995402451912,0.000545980610993487,0.05357025,0.000271823694076516,0.00507415392081456
7,400,7.944576,0.0186065352948013,0.00234204258286425,0.821103,0.00042824969476541,0.000521554171359026,0.0532855,0.000277970450745613,0.00521662461167884
8,400,9.537381,0.0223809726277695,0.00234665812635246,0.85606025,0.000432416807163579,0.000505124268021531,0.05201225,0.000284957851167686,0.00547866802854494
9,400,11.19317425,0.0256990528300549,0.00229595754127163,0.88457825,0.000431691527766777,0.000488019604559322,0.04996525,0.00030919509907659,0.00618820278246562
10,400,12.52507675,0.0295729689577692,0.00236110081782686,0.90267125,0.000361455403633408,0.000400428620755793,0.0486315,0.000328253278686476,0.0067498078135874
11,400,13.29220025,0.0287648646396301,0.00216404087349121,0.9087325,0.000383507312082903,0.000422024426421309,0.0485905,0.000331649889132204,0.00682540597713966
12,400,13.93684825,0.0299587706232437,0.00214960872686862,0.90918025,0.000406163926238155,0.000446736415840703,0.05239225,0.000373630753967773,0.00713141264152184
13,400,14.5760215,0.0297570042637634,0.00204150386741426,0.908464,0.00040322477896569,0.00044385333812423,0.05895175,0.000348144188703575,0.00590557852317488
14,400,15.2525055,0.0299745068092809,0.00196521855437331,0.907768,0.00040841252340886,0.000449908482573587,0.06016775,0.000309892102719753,0.00515046852707228
15,400,15.754289,0.0335528164734493,0.00212975758369351,0.90773725,0.000396574123637179,0.000436882064316716,0.0595845,0.000304321438752202,0.00510739267346713
16,400,16.0531015,0.0364833868425802,0.00227266904420807,0.90840825,0.000396268338272873,0.000436222742663195,0.059485,0.000308551523747684,0.00518704755396628
17,400,16.35820325,0.0337759878116286,0.0020647736976632,0.90842875,0.000429776420505833,0.000473098655789828,0.062886,0.000461137205201503,0.00733290724806002
18,400,16.794947,0.0333664008573655,0.00198669283430102,0.906341,0.000441026678335346,0.000486601266339431,0.07468675,0.000575736316522727,0.00770868081048817
19,400,17.309085,0.0330973505301525,0.00191213750063348,0.90348975,0.000443245688903546,0.000490592935784325,0.08587375,0.00057159826345144,0.00665626298433968
20,400,17.89299475,0.0326182213471092,0.00182296042685137,0.90044575,0.000447572847884183,0.000497056983037771,0.096477,0.000612568196343827,0.00634937027834434
21,400,18.48033325,0.0344639947578215,0.00186490115148878,0.897073,0.000460163394413218,0.000512960923373257,0.10783125,0.000640300613918346,0.00593798749359157
22,400,19.02322,0.0346007641684805,0.0018188700003722,0.89345825,0.000463328756899651,0.000518579079548094,0.11694725,0.000576802202250522,0.00493215703875484
23,400,19.5710785,0.0343403467527469,0.00175464764257866,0.88980875,0.000457748041139082,0.000514434187277976,0.12431475,0.000480724349685661,0.00386699365671138
