parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,45,1.59210444444444,0.00875904909860309,0.00550155432903117,0.325295555555556,0.00054633227450322,0.00167949504741978,0.0712333333333333,0.000583029496628939,0.00818478469764538
2,45,2.2333,0.0106380151418193,0.00476336145695574,0.475713333333333,0.000937742844291655,0.00197123515063341,0.0596333333333333,0.000794252658068253,0.0133189378099763
3,45,2.82152444444444,0.0127925893487708,0.00453392823654579,0.580557777777778,0.00123617235124205,0.00212928393789469,0.0562488888888889,0.000817975188732957,0.0145420683837638
4,45,3.45518888888889,0.0159277280464004,0.00460979950983878,0.666615555555556,0.00146943836334118,0.0022043265433801,0.0642844444444444,0.000796373977311927,0.0123882843539259
5,45,4.14157555555556,0.01702440859875,0.0041106116187868,0.734931111111111,0.00152754589558549,0.00207848854469647,0.0680933333333333,0.000836220263864114,0.0122805012316054
6,45,4.86333111111111,0.0179016582870062,0.00368094581224518,0.790613333333333,0.00166889846499559,0.00211089086742225,0.0674822222222222,0.000878844030677877,0.0130233415814879
7,45,5.57726666666667,0.0196195892208772,0.00351777858106309,0.833248888888889,0.00170066001664383,0.00204099884118851,0.0643711111111111,0.000890562250779826,0.0138348124711196
8,45,6.33502,0.0206707110883633,0.00326292751851822,0.869604444444444,0.00169335809711737,0.00194727396799264,0.0606777777777778,0.00101089074210834,0.0166599829316519
9,45,7.11294666666667,0.0209138164743991,0.00294024649058699,0.897517777777778,0.00170328954991927,0.00189777806311152,0.0571177777777778,0.00109178465055497,0.0191146205792995
10,45,7.90743111111111,0.0225720282993343,0.00285453366360881,0.919786666666667,0.00164983984089549,0.00179372010998437,0.0518888888888889,0.00119669199639306,0.0230625866542559
11,45,8.66168888888889,0.0237042436490734,0.00273667687135252,0.936408888888889,0.00153422494843912,0.00163841348223379,0.0469533333333333,0.00125101120536932,0.0266437144406358
12,45,9.43101777777778,0.0251432445907737,0.00266601603169687,0.949568888888889,0.00139032959194257,0.00146416927535339,0.0421288888888889,0.00136036349245521,0.0322905143794095
16,45,12.0889711111111,0.0302922676586338,0.00250577715673353,0.976542222222222,0.000902978110384683,0.000924668785267537,0.0305622222222222,0.00169806449829185,0.055560897566446
20,45,13.4942355555556,0.0339677327973734,0.00251720319076459,0.983408888888889,0.000674630040394674,0.000686011737352617,0.0271955555555556,0.00175365221337556,0.064483044289835
24,45,14.1875577777778,0.0350396125502822,0.00246974236856786,0.986064444444444,0.000604823714046457,0.000613371385059136,0.0261133333333333,0.00180736996978393,0.0692125339462828
28,45,14.5745977777778,0.035932534469969,0.0024654220320753,0.987273333333333,0.000577828248922226,0.000585276872587354,0.0255133333333333,0.00183996787675077,0.0721178943069287
32,45,15.0526133333333,0.0372979107448786,0.00247783623474098,0.988624444444444,0.000536556811476321,0.000542730674414831,0.0246444444444444,0.00185019901474513,0.0750757039346537
36,45,15.2113555555556,0.037663349497032,0.00247600217873261,0.989033333333333,0.000527139197303082,0.000532984257999139,0.0243733333333333,0.0018658919665155,0.0765546485167737
40,45,15.5462933333333,0.03851592781152,0.00247749910449307,0.989746666666667,0.000501006802107092,0.00050619700877035,0.02406,0.00188520555222538,0.0783543454790268
44,45,15.8032444444444,0.0386925568342796,0.00244839323787602,0.990366666666667,0.000484244582996665,0.000488954848032714,0.0237555555555556,0.00190403955857763,0.0801513378259995
48,45,15.9021133333333,0.0387917625596262,0.00243940926256088,0.990568888888889,0.000482350627413872,0.000486943041341547,0.0236355555555556,0.00191368130924555,0.0809662080820327
