parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,155,0.171356774193548,0.00208175287213841,0.0121486464829634,0.216790322580645,0.00059764770209601,0.00275680064950172,0.0556658064516129,0.000398819318808608,0.00716452961397906
1.5,155,0.417930322580645,0.00458327441028626,0.0109665993651414,0.310598709677419,0.000855202734341558,0.002753400795611,0.0748083870967742,0.00059084499763856,0.00789811170336056
2,155,0.755450322580645,0.00750872331032845,0.00993940049516213,0.392089677419355,0.00100068750442373,0.00255219038412341,0.0896258064516129,0.000674220480849475,0.00752261550040805
2.5,155,1.17483483870968,0.0113428515471533,0.00965484779087007,0.462310322580645,0.00116009166084773,0.00250933540564706,0.102832258064516,0.000751302789484431,0.00730610028044964
3,155,1.66493612903226,0.0160639559611878,0.00964839171970217,0.523729032258065,0.00130357091670474,0.00248901786308156,0.114438064516129,0.000742926087375198,0.00649194907757715
3.5,155,2.21038322580645,0.0216179505557095,0.00978018214367434,0.57682064516129,0.00140233180922536,0.00243114011433006,0.124976774193548,0.000758567775586321,0.0060696699885336
4,155,2.81743161290323,0.0268092162898396,0.00951548075454934,0.623167096774194,0.00151438114610078,0.00243013656199104,0.133849677419355,0.000781032983774946,0.00583515028824423
5,155,4.17793870967742,0.0379275915127342,0.00907806316662376,0.699247741935484,0.00168150926221251,0.00240474035362369,0.146814838709677,0.000829572972505589,0.00565047089106605
6,155,5.68848838709677,0.0516316257311688,0.00907651070331532,0.758563870967742,0.00179488532944465,0.00236616242631595,0.155732903225806,0.000866827336681636,0.0055661155653457
7,155,7.08307612903226,0.0593216256501663,0.00837512184953337,0.797170322580645,0.00184338994049337,0.00231241666715068,0.16180064516129,0.000872981386430333,0.00539541350753024
8,155,7.62282516129032,0.0578403236736328,0.0075877804422635,0.799704516129032,0.00222942220576966,0.00278780744738215,0.167134838709677,0.000938963004900084,0.00561799689489703
9,155,8.21455548387097,0.0552835249480431,0.00672994723288322,0.799836774193548,0.00225827378943443,0.00282341830520531,0.172234838709677,0.000931366673855811,0.00540753938537221
10,155,8.82539870967742,0.055787147969867,0.00632120426567177,0.799458709677419,0.00211723437594669,0.00264833486747676,0.177006451612903,0.00101534654837673,0.00573621209354108
11,155,9.35772064516129,0.0556718067669087,0.0059492913795942,0.79972064516129,0.002055037121754,0.00256969372266178,0.181891612903226,0.000750578443662496,0.00412651486059358
12,155,9.73834967741936,0.0634144559908511,0.00651182778308858,0.799930322580645,0.00208897751379058,0.00261144934105181,0.18338,0.000763597518464589,0.00416401744173077
13,155,10.079444516129,0.0663834407262289,0.00658602174157542,0.800211612903226,0.00204924723639388,0.00256088165099111,0.192487741935484,0.0022260679705399,0.0115647258789394
14,155,11.0516251612903,0.105006124605763,0.00950141930017315,0.800133548387097,0.00227759636053267,0.00284652026542799,0.234332258064516,0.00390330194575408,0.0166571259885159
15,155,12.3814819354839,0.168430434712539,0.0136034148085164,0.799314193548387,0.00196881490764129,0.00246313017275616,0.269163225806452,0.00241772271540274,0.00898236639926906
16,155,14.474884516129,0.298134210136354,0.0205966555245501,0.795027741935484,0.00219394460839669,0.00275958245564559,0.293623870967742,0.00385958783421493,0.0131446664111275
17,155,17.5333541935484,0.317200760763472,0.0180912766183775,0.782265806451613,0.00304679791795703,0.00389483714209294,0.328289677419355,0.0049818066446969,0.0151750328668823
18,155,20.2357703225806,0.259490252210212,0.0128233444081273,0.76028,0.00409272103244091,0.00538317597785146,0.362169677419355,0.0038361716881371,0.010592194563255
