parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1.5,155,0.189,0.00180375827135076,0.00954369455741142,0.207478709677419,0.00076366198215155,0.00368067636114985,0.052801935483871,0.00038135535469151,0.00722237454359982
2,155,0.337321290322581,0.00278841011734544,0.00826633301052206,0.267525161290323,0.000938390353717095,0.00350767138758488,0.0662677419354839,0.000473551878657811,0.00714603915610775
2.5,155,0.520711612903226,0.00392136525690947,0.00753078126113976,0.323782580645161,0.00108174880848643,0.0033409728415005,0.0791593548387097,0.000573166114369006,0.00724066177063791
3,155,0.737614838709677,0.00519662226971255,0.00704517045617344,0.377257419354839,0.00121771047817208,0.00322779729621894,0.0918832258064516,0.000649161169826245,0.00706506725388241
3.5,155,0.984861935483871,0.00660868823533313,0.00671026871607767,0.427805806451613,0.00134244320140418,0.00313797330741938,0.104371612903226,0.000711964933135452,0.00682144228043684
4,155,1.26335741935484,0.0080613748189925,0.00638091382176647,0.475911612903226,0.00146716299984903,0.00308284765504844,0.115730967741935,0.000747892568291342,0.00646233746147394
5,155,1.91012967741935,0.0112204424511685,0.00587417837846889,0.563063870967742,0.00166685966257269,0.00296033851312081,0.13268,0.000765891394182807,0.00577247056212547
6,155,2.68149548387097,0.0145432845393366,0.00542357226660032,0.639314193548387,0.00180791082612316,0.00282789095622718,0.141257419354839,0.000832692771001898,0.00589486042435883
7,155,3.57654580645161,0.0185335525166022,0.00518196984452713,0.704592258064516,0.00193468624063393,0.00274582386974904,0.14346,0.000922801440724348,0.00643246508242261
8,155,4.58661290322581,0.022771327240932,0.00496473709933462,0.760033548387097,0.00199813538923445,0.00262900946079918,0.140710967741935,0.000996145701743131,0.00707937496080665
9,155,5.64138258064516,0.0273496675679331,0.00484804339662518,0.797917419354839,0.00191345688834304,0.0023980638120298,0.134571612903226,0.00103316333489519,0.00767742403175451
10,155,6.23777096774194,0.0297651218217254,0.00477175612500891,0.800497419354839,0.00200693454528558,0.00250710932572783,0.131315483870968,0.00104224913884091,0.00793698586120309
11,155,7.08477612903226,0.0334600813732771,0.00472281420949395,0.800630322580645,0.00205457398051092,0.0025661955618774,0.129461935483871,0.000983099356282542,0.00759373288069698
12,155,8.04173419354839,0.0370323687371896,0.00460502272841838,0.80124064516129,0.00229916920452247,0.00286951144878534,0.130941935483871,0.00141813786537237,0.0108302803080764
13,155,8.93839741935484,0.0414529584023032,0.00463762758104072,0.801314193548387,0.00235492985365252,0.00293883457027561,0.148325806451613,0.001946687915656,0.0131244047292004
14,155,9.77911290322581,0.0453150741445032,0.00463386347953456,0.800865806451613,0.0023581239990925,0.00294446832427597,0.162043225806452,0.0012494023125259,0.00771030264491414
15,155,10.58106,0.0515509047148328,0.00487199814714526,0.800363870967742,0.00213672430341123,0.00266969110040869,0.171249032258065,0.00110673903129095,0.00646274619305964
16,155,11.0673296774194,0.0642796228903674,0.00580805169484713,0.798831612903226,0.0019520871691264,0.00244367791358664,0.18006064516129,0.00104405785569535,0.00579836784856638
17,155,11.4359322580645,0.0680034793974679,0.00594647448611043,0.798425161290323,0.00193284367798208,0.00242082009897889,0.187852903225806,0.0011025911586148,0.00586943901148785
18,155,11.7946341935484,0.0724654902186449,0.00614393706744065,0.798223225806452,0.00195484633121439,0.00244899705748276,0.194568387096774,0.00107177290416239,0.00550846373429262
19,155,11.9410225806452,0.0744942032663108,0.00623851121319008,0.798450322580645,0.00192065837282102,0.00240548261864724,0.197374838709677,0.000966289347081714,0.00489570683577884
20,155,12.0868509677419,0.0691731178616997,0.00572300577266261,0.798916129032258,0.00199378141962889,0.00249560792075133,0.198198709677419,0.00104436531882829,0.00526928414684465
21,155,12.3956677419355,0.0637134760662494,0.00513997933735364,0.79909935483871,0.00212415300274243,0.0026581838539604,0.199429677419355,0.00116375802525002,0.00583543051520316
22,155,12.8464335483871,0.0589267123994833,0.00458700947446085,0.799072258064516,0.00223539515302495,0.00279748812509077,0.201403225806452,0.0012942813695596,0.00642631896473893
23,155,13.4153064516129,0.0567833589349907,0.00423272916946028,0.798978709677419,0.00233145424130276,0.002918043012991,0.204512258064516,0.00149915879621445,0.00733041046244532
24,155,14.0653935483871,0.0569182359487305,0.00404668634069307,0.798863225806452,0.00236723163138075,0.00296325022220298,0.208168387096774,0.00153789924402833,0.00738776557515134
25,155,14.7315141935484,0.0572962579254135,0.00388936650860413,0.79896,0.00229220283104507,0.00286898321698842,0.211314838709677,0.00144182417591342,0.00682310899091343
26,155,15.3483187096774,0.0581811463936416,0.00379071789517618,0.799127741935484,0.0021094291730723,0.00263966455220698,0.213571612903226,0.00131551008506325,0.00615957367732828
27,155,15.8499625806452,0.0616807669499728,0.00389154022516703,0.799296129032258,0.0019263934343078,0.00241011230298359,0.214371612903226,0.0010902899607746,0.00508598104949089
28,155,16.2466406451613,0.0680636858070082,0.00418940058400809,0.799746451612903,0.00184074189341379,0.00230165684349263,0.214433548387097,0.0011814154765108,0.00550947128094949
29,155,16.6320548387097,0.0692834114424508,0.0041656555437275,0.799992903225806,0.00180833065416304,0.00226043336993531,0.216845806451613,0.00180022443143675,0.00830186417203531
30,155,17.0954780645161,0.070023506734751,0.00409602506993319,0.800230322580645,0.00186281369710755,0.00232784692674504,0.223661290322581,0.00283753792377278,0.0126867636312045
31,155,17.6290748387097,0.071523719984776,0.00405714540548238,0.800401935483871,0.00190206351545258,0.00237638545226994,0.232032903225806,0.00314835351038285,0.0135685649173599
32,155,18.2111464516129,0.0743456571790711,0.00408242596788773,0.800272903225806,0.00197263017589616,0.00246494685493501,0.242354193548387,0.00321296855839074,0.0132573260291007
33,155,18.8105690322581,0.0773554225970197,0.00411233825326409,0.800493548387097,0.00198736205853814,0.00248267092538403,0.249018064516129,0.00274134561994984,0.011008621504133
34,155,19.424024516129,0.079519272010527,0.00409386180214595,0.800608387096774,0.00199019702294023,0.0024858558254145,0.254490322580645,0.00198139297674977,0.0077857301474475
35,155,20.0440606451613,0.0815370694253052,0.0040678917744638,0.800770967741935,0.00202570612994772,0.00252969477110282,0.257787741935484,0.00145449395239632,0.00564221534148949
36,155,20.6731748387097,0.0833182087923993,0.00403025705739156,0.80091935483871,0.00206362464748007,0.00257656983192228,0.259283225806452,0.0013627994373794,0.00525602623594593
