parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
5,435,0.959468275862069,0.00778755033904101,0.00811652717964437,0.376041379310345,0.000803109319988539,0.00213569400649852,0.118474022988506,0.000546842122328517,0.00461571328916188
6,435,2.31579977011494,0.0176669335132596,0.00762886918862709,0.523282528735632,0.00109147411040475,0.00208582180842535,0.142448965517241,0.000541586688959664,0.00380196996863493
7,435,4.09278850574713,0.0306289017430072,0.00748362679869673,0.636788045977011,0.00123655335359839,0.00194186018630605,0.15070275862069,0.000571795084242782,0.00379419122434221
8,435,6.1501924137931,0.0469009199032892,0.00762592724710597,0.723332873563218,0.00132868120951833,0.00183688763234705,0.153363218390805,0.000639262555417445,0.00416829121170669
9,435,8.45618045977012,0.0577224554746043,0.00682606712915083,0.791467816091954,0.00129182414703659,0.00163218784234999,0.150255632183908,0.000710939022754102,0.00473152994281063
10,435,8.91335448275862,0.0473488572715527,0.0053121254588428,0.801895862068966,0.00145033089240212,0.00180862748020688,0.150958390804598,0.00080419987397944,0.00532729495653147
11,435,8.75107425287356,0.0448665456179969,0.00512697576566262,0.802564827586207,0.0013579511485453,0.00169201427955605,0.150834252873563,0.000751989516799068,0.00498553546341641
12,435,9.11748551724138,0.0451481784144606,0.00495182343082249,0.801708505747126,0.0013266091705759,0.00165472757375775,0.155358620689655,0.000797013621520462,0.00513015382076916
13,435,9.57060229885058,0.0432771310164211,0.00452188166063682,0.801986436781609,0.00144847319914918,0.00180610685258212,0.160133563218391,0.000817567505836264,0.00510553496346835
14,435,9.95587126436782,0.0443232916662098,0.00445197517015346,0.801077701149425,0.00131372087236421,0.00163994188139206,0.163947586206897,0.000749842320764497,0.00457367100128098
15,435,10.1305245977012,0.0473690947804422,0.0046758777715412,0.800733103448276,0.00129188852207005,0.0016133821825358,0.162633793103448,0.000783794842808049,0.00481938487599248
16,435,10.0236774712644,0.0504774631039641,0.00503582275553774,0.800235172413793,0.00130913718584876,0.00163594057219447,0.159365517241379,0.000758238714203602,0.00475785933700546
17,435,9.68446712643678,0.0493441147723623,0.00509518119356945,0.800338390804598,0.00132917784550033,0.00166076982033073,0.155855862068966,0.000826307674460943,0.00530174267102835
18,435,9.60759287356322,0.0463677384478136,0.004826155631074,0.798734712643678,0.001447232176639,0.00181190594790717,0.168246666666667,0.0013235960095213,0.0078669969262668
19,435,10.0513317241379,0.0475289171071958,0.0047286188946542,0.797276551724138,0.00152389336284375,0.0019113736125166,0.189844827586207,0.00152470350740931,0.0080313144518881
20,435,10.6300537931034,0.0461642689506978,0.00434280671097339,0.797647586206897,0.00159395807988803,0.00199832370516894,0.206651494252874,0.00162022971751603,0.00784039681577815
21,435,11.3056777011494,0.0463659167597238,0.00410111786178107,0.797869195402299,0.00170337022897159,0.00213489910224284,0.22071724137931,0.00165505047115998,0.00749851013367694
22,435,12.0240202298851,0.0465842828731916,0.00387426850442324,0.79749908045977,0.00170455983314566,0.00213738156558494,0.233676091954023,0.00163554420883127,0.00699919360664878
23,435,12.7498466666667,0.0462815827402505,0.00362997171262064,0.797657701149425,0.00175674393761596,0.00220237820694828,0.242537931034483,0.00167605469789873,0.00691048484973032
24,435,13.51384,0.0483643370027432,0.00357887447259574,0.797628965517241,0.00172816799394923,0.0021666314397554,0.247524827586207,0.00162031050364211,0.00654605244832581
25,435,14.2951002298851,0.0500184838984403,0.00349899497688534,0.798272873563218,0.0016600443390527,0.00207954497018397,0.248718390804598,0.00159583758787036,0.00641624281464619
26,435,15.0683087356322,0.0504113957201007,0.0033455244781979,0.797955172413793,0.00165671063801747,0.00207619512385134,0.250091034482759,0.00151587619662358,0.00606129763811298
27,435,15.8209177011494,0.050754795981632,0.00320808166380541,0.798113333333333,0.00157668947338839,0.0019755207782375,0.252088505747126,0.00149121486701228,0.0059154417318342
28,435,16.5893342528736,0.0536148600260159,0.00323188738069636,0.798185977011494,0.00157992772469455,0.00197939799770724,0.252620229885057,0.00146942643991726,0.005816740965622
29,435,17.2989662068966,0.0537318362413538,0.00310607209695182,0.798449885057471,0.00159894042725456,0.00200255577360309,0.252556781609195,0.0014878399340297,0.00589111060312756
30,435,18.0519195402299,0.0536390678905278,0.00297137751866164,0.798432413793103,0.00159779914533782,0.00200117019015695,0.253948505747126,0.00141381677390954,0.00556733645567254
31,435,18.7941436781609,0.056986241600994,0.00303212759127796,0.798382988505747,0.00157859085378666,0.00197723508205147,0.255229655172414,0.00136504792191673,0.00534831236987177
32,435,19.5049524137931,0.0576169042870611,0.00295396282260688,0.797218850574713,0.00154485378022534,0.00193780387795855,0.256500689655172,0.00126870440260762,0.00494620269564659
33,435,20.197071954023,0.0592076079141854,0.00293149462699181,0.797127356321839,0.00150622523731897,0.0018895666111236,0.256851264367816,0.00127653889527282,0.00496995371393147
34,435,20.9086733333333,0.0614104604885376,0.00293708067984566,0.796819770114943,0.00144579044626523,0.00181445102203812,0.257083448275862,0.00133305299545734,0.00518529296381195
