parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
4.5,100,0.265279,0.00300207431871614,0.0113166678052772,0.245888,0.00134218636081867,0.0054585273003102,0.095869,0.000750760841705522,0.00783111163885638
5,100,0.691426,0.00688344972583258,0.00995543952040071,0.351016,0.00170453133435617,0.00485599327197669,0.121729,0.000908858568490825,0.00746624525372611
5.5,100,1.228285,0.0121938620522413,0.00992755105878629,0.430488,0.00200480599310655,0.00465705430373566,0.135864,0.00110446722439447,0.00812921174405631
6,100,1.874118,0.0175182599570749,0.00934746902653668,0.496349,0.00237206299028563,0.00477902240215178,0.143858,0.0009755200892971,0.0067811320141883
6.5,100,2.550451,0.0209756514833243,0.00822429110903297,0.547628,0.00234132459174181,0.00427539240459182,0.149317,0.000996351560290307,0.0066727268850185
7,100,3.312714,0.0274280272494106,0.00827962427466137,0.59311,0.00251435352817508,0.00423927016603173,0.152326,0.00112103187475926,0.00735942567099025
7.5,100,4.127547,0.0346517863974777,0.00839524938116457,0.632257,0.00236662197294888,0.00374313289208167,0.153692,0.00114500593292804,0.00745000346750668
8,100,4.980202,0.0436476414239981,0.00876423113439939,0.664518,0.00248946636990437,0.00374627379529881,0.154445,0.00117585604337754,0.00761342900953437
8.5,100,5.904951,0.0558043686295528,0.00945043720592309,0.694929,0.00241420316438641,0.0034740285185773,0.155616,0.00113669663619249,0.00730449719946847
9,100,6.901864,0.0671790365718118,0.00973346281117852,0.722061,0.00254073581000195,0.00351872737899146,0.156243,0.00137497285395279,0.00880022051517691
9.5,100,7.981776,0.0766084034384734,0.00959791447899232,0.746328,0.00280883752975166,0.00376354301292684,0.154437,0.00115744699016692,0.00749462233899209
10,100,9.188578,0.0808388224196756,0.00879775112315264,0.770276,0.00267344957965048,0.00347076837347974,0.152015,0.00120646507926038,0.00793648705233284
10.5,100,10.454903,0.0951278704509269,0.00909887642677574,0.792744,0.00261354316369734,0.00329683121373021,0.148467,0.0012833213739608,0.00864381562206284
11,100,11.780012,0.110318824656103,0.00936491615255593,0.816262,0.00264458337596307,0.00323987074733733,0.14432,0.00139665325226797,0.00967747541759959
11.5,100,13.127356,0.109984636900865,0.00837827791833064,0.836356,0.00296623710084141,0.00354662022014718,0.14018,0.00148792665182532,0.010614400426775
12,100,14.366405,0.113219848362605,0.00788087544257629,0.852863,0.00274261754771354,0.00321577738477756,0.138069,0.00149594449277999,0.0108347601038611
12.5,100,15.702891,0.129164728019686,0.00822553808847595,0.868379,0.00297970701307726,0.00343134393286487,0.134784,0.0017739101324145,0.0131611328675102
13,100,17.018944,0.139413066206675,0.00819164022201821,0.882614,0.00271792665959428,0.0030794057873479,0.129954,0.00188428611215725,0.0144996391966177
13.5,100,18.362923,0.134830267868607,0.0073425275414272,0.896246,0.00293382501907828,0.00327345954021361,0.125672,0.00192810747349558,0.0153423791576133
14,100,19.642498,0.118065998843495,0.00601074256662749,0.907931,0.00254438765085079,0.0028024020006485,0.120375,0.00185741764160717,0.0154302607817833
14.5,100,20.947286,0.127536328621817,0.00608844165405568,0.918293,0.00230669021760967,0.00251193270297135,0.115743,0.00194742009351404,0.0168253811765207
