parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,100,0.697541,0.0114002315322361,0.0163434572766849,0.253528,0.0010023198031234,0.00395348759554527,0.103158,0.00143942997604446,0.0139536436926313
2,100,1.435643,0.0152873680392305,0.0106484467511982,0.421442,0.00173497087606214,0.00411674886713271,0.110942,0.00126873100450566,0.011435984609126
3,100,2.088728,0.0184512349654805,0.00883371839965782,0.537223,0.00228388679148048,0.00425128259862381,0.120313,0.00109469594860626,0.00909873370796386
4,100,2.783672,0.0235136756881765,0.00844699939079623,0.631625,0.00256434392586116,0.00405991518046492,0.132907,0.00112548703855511,0.00846822995444267
5,100,3.536905,0.0287756723674985,0.00813583411697472,0.706383,0.00278750489933455,0.00394616645549872,0.138852,0.00130280772720949,0.00938270768306898
6,100,4.319038,0.0317347126083639,0.00734763449832206,0.76762,0.0027858031928862,0.00362914357740314,0.136937,0.00142372617462031,0.0103969429344904
7,100,5.091534,0.0359505558479767,0.00706084960799175,0.814163,0.00276476257787467,0.0033958342222315,0.132339,0.00156908825139656,0.0118565823483369
8,100,5.898737,0.0397311154015363,0.00673552921609089,0.854039,0.00259084040958594,0.00303363243316282,0.123892,0.00164662784955352,0.0132908327378162
9,100,6.726313,0.0424543227805229,0.00631167814826977,0.885438,0.00244121339048325,0.00275706869423184,0.116054,0.00176835550191571,0.015237350732553
10,100,7.563983,0.0446529766790884,0.00590336819623846,0.910467,0.00235423949593455,0.00258574939666628,0.10526,0.00196351890176177,0.0186539891864124
11,100,8.36264,0.0465639905678544,0.00556809698466685,0.929466,0.00224210310594335,0.0024122486523911,0.095475,0.00210198652774662,0.0220160935087365
12,100,9.168722,0.0483586588688248,0.0052743074627876,0.944741,0.00205600527303101,0.00217626341296822,0.084778,0.0022578428346803,0.0266324144787598
13,100,9.931061,0.0495676841201566,0.00499117708774083,0.955983,0.00183220543778212,0.00191656696592107,0.076989,0.0024615102663974,0.031972233259263
14,100,10.684614,0.0509891884085092,0.00477220687696431,0.964902,0.00164724350782657,0.00170716146077691,0.068794,0.00255980396144594,0.0372096979597922
16,100,11.967893,0.0533356793305014,0.00445656385217527,0.976188,0.00133952100503324,0.00137219572975004,0.057463,0.00272516354666221,0.047424665378804
18,100,12.935959,0.0554228974021386,0.00428440577170495,0.981908,0.00112615027747211,0.00114689999212972,0.050645,0.00283167109108399,0.0559121550218974
20,100,13.429782,0.0586407189390625,0.00436646841617105,0.98407,0.00105036414426405,0.00106736730543971,0.048287,0.00290428483265465,0.0601463092065081
