parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
2,10,0.22896,0.00337845988317491,0.0147556773374166,0.24151,0.00378295797021913,0.0156637736334691,0.05891,0.00138760679028479,0.0235546900404818
2.5,10,0.3598,0.00528683533989012,0.0146938169535579,0.2906,0.00442398818563823,0.0152236344997875,0.06987,0.00169415014945219,0.0242471754608873
3,10,0.51682,0.00632430716240479,0.0122369628930862,0.33659,0.00510306868723778,0.0151610822877619,0.08018,0.0019105504314493,0.0238282667928324
3.5,10,0.69467,0.00805133869448635,0.0115901632350416,0.37909,0.00544046244603036,0.0143513742014571,0.08946,0.00229397232958222,0.0256424360561393
4,10,0.89586,0.0113370634990822,0.0126549499911618,0.41911,0.00572235343815034,0.0136535836371128,0.09814,0.00250512230439953,0.0255260067699157
4.5,10,1.12148,0.0155791384933685,0.0138915883416276,0.45644,0.00631852714764727,0.0138430618430621,0.10633,0.0024934832789137,0.0234504211315123
5,10,1.36908,0.0177384463786683,0.0129564717756948,0.49085,0.0070212058793344,0.0143041782200966,0.11388,0.00253385544093493,0.0222502234012551
5.5,10,1.64073,0.0204071059000971,0.0124378209090448,0.52284,0.00756588209030807,0.0144707407434551,0.12062,0.0024257590097397,0.0201107528580642
6,10,1.93805,0.0232724312266682,0.0120081686368609,0.55303,0.00802967930285304,0.0145194280651195,0.12689,0.00247930316016416,0.0195389956668308
6.5,10,2.25369,0.0286251489332176,0.0127014580236047,0.57997,0.00824283250237576,0.014212515306612,0.1321,0.00263755772553997,0.0199663718814532
7,10,2.5945,0.0350866643308632,0.0135234782543315,0.60483,0.00848946522173871,0.0140361179533732,0.13677,0.00273746666666666,0.0200151105261875
7.5,10,2.95686,0.0402777875203912,0.013621810812954,0.6279,0.00865872503830033,0.0137899745792329,0.14096,0.00283778399929711,0.0201318388145368
8,10,3.34077,0.0426212359215971,0.01275790788399,0.64908,0.00878910856913259,0.0135408710315101,0.1444,0.0028603766030212,0.0198087022369889
8.5,10,3.74424,0.0443993258615488,0.0118580341702318,0.66881,0.00888208769152838,0.0132804349389638,0.14721,0.00282591401614888,0.0191964813270082
9,10,4.16485,0.0462479549030129,0.0111043506736168,0.68716,0.00899785885048955,0.0130942704035298,0.1495,0.00290185926605685,0.0194104298732899
9.5,10,4.60082,0.046952706262271,0.0102052908529938,0.70402,0.00913895408165872,0.0129811000847401,0.15118,0.00306089281383353,0.0202466782235318
10,10,5.05531,0.0479885892824071,0.00949270950394873,0.72001,0.00947839869176222,0.013164259790506,0.15232,0.00317815609993524,0.0208649954039866
10.5,10,5.52172,0.0492080569908808,0.00891172623582521,0.73494,0.00969367908049134,0.0131897557358306,0.15302,0.00336435584324845,0.0219863798408603
11,10,6.00391,0.0520648908632722,0.00867183066756034,0.74887,0.00989246991829868,0.013209862750943,0.15309,0.00350827833432741,0.0229164434928958
11.5,10,6.50009,0.0558203614605121,0.00858762901136939,0.76217,0.0100355509053232,0.0131670767746345,0.1529,0.00362938280642254,0.0237369706110042
12,10,7.00728,0.059864215681973,0.0085431459399329,0.77457,0.0100324880450132,0.0129523323198849,0.15226,0.00371553142363242,0.0244025444872746
12.5,10,7.52651,0.063285452613658,0.00840833967053229,0.78628,0.0098849484467829,0.0125717917876366,0.15124,0.00381875429135965,0.0252496316540575
13,10,8.05659,0.0672934249902288,0.00835259396223822,0.79762,0.00967179626290334,0.0121258196420643,0.14995,0.00387677782586404,0.0258538034402403
13.5,10,8.59782,0.0727146310982261,0.00845733349828516,0.80867,0.00937200005785556,0.0115893999503574,0.14836,0.0039180612983691,0.0264091486813771
14,10,9.15009,0.0790278408538831,0.0086368375451917,0.81942,0.00906504649837924,0.0110627596328857,0.14639,0.00390543081476153,0.0266782622772152
14.5,10,9.71116,0.0840662418751098,0.008656663248789,0.82989,0.00883819954415049,0.0106498446109129,0.1441,0.0039034137993414,0.0270882290030632
15,10,10.28584,0.0878588286219812,0.00854172616159509,0.8401,0.00858799149200013,0.0102225824211405,0.14148,0.00400198532064607,0.0282865798745128
15.5,10,10.86654,0.0916220522803933,0.00843157548588541,0.85007,0.0082517862211766,0.00970718437443576,0.13884,0.00410875510532759,0.0295934536540449
16,10,11.45452,0.0953704608333906,0.00832601111468578,0.85979,0.00782934615008033,0.00910611445827508,0.13603,0.00413442321329912,0.0303934662449395
16.5,10,12.05204,0.099152795774692,0.00822705498610128,0.86916,0.00741486994146821,0.00853107591406439,0.13303,0.00411330800856601,0.0309201534132603
17,10,12.65497,0.104015012760958,0.00821930140971949,0.87803,0.00709064144536068,0.00807562548587256,0.12985,0.00418044000873911,0.0321943781959115
17.5,10,13.26417,0.108277542788768,0.00816316006118495,0.88663,0.00685701579535716,0.00773379627957227,0.12663,0.00426072023332519,0.0336470049224133
18,10,13.88421,0.112381664733789,0.00809420663716474,0.89501,0.00662651687154638,0.00740384674087036,0.12311,0.00430391980305292,0.0349599529124598
18.5,10,14.50263,0.117749931716404,0.00811921228883341,0.90302,0.00640618569960143,0.00709417919824747,0.11967,0.00429852125684584,0.0359197898959291
19,10,15.13002,0.123924127512926,0.00819061227367353,0.91077,0.00620632623627787,0.00681437271350382,0.11609,0.00439547692570948,0.0378626662564345
19.5,10,15.7612,0.128797782705552,0.00817182592096746,0.91802,0.00600539507961153,0.00654168218515013,0.11241,0.00456412606506194,0.0406024914603856
20,10,16.39485,0.133846632636678,0.0081639437162693,0.92489,0.00577233587842333,0.00624110529730382,0.10862,0.00473338083732031,0.0435774335971304
20.5,10,17.03704,0.137572309246301,0.00807489500795334,0.93149,0.00561824502293891,0.00603146037309999,0.10476,0.00488361313237102,0.0466171547572644
21,10,17.68329,0.14128821610368,0.00798992812444289,0.93771,0.00549145613395127,0.00585624141147185,0.10093,0.00506474939338343,0.0501808123787122
21.5,10,18.32988,0.14590293420405,0.00795984121031068,0.94345,0.00543408797213375,0.00575980494158011,0.09725,0.00526225426135141,0.0541105836642819
22,10,18.98507,0.149669632228437,0.00788354387044331,0.94889,0.00542057638427666,0.00571254453548531,0.09353,0.00547538940025679,0.0585415310622986
22.5,10,19.64484,0.155518951771959,0.00791652931619495,0.95395,0.00544044675453119,0.00570307327903055,0.08992,0.00560267522766282,0.0623073312684922
23,10,20.31055,0.162560751166517,0.0080037591875413,0.95846,0.00539252958823594,0.00562624375376744,0.08641,0.00569746000171226,0.0659351927058473
23.5,10,20.98086,0.1697585815002,0.00809111645090811,0.96266,0.00515986105583819,0.00536000358988447,0.08286,0.00581078941892675,0.0701277989250151
