parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
2,250,0.1737728,0.000879363486063134,0.00506042076817048,0.2470676,0.000686669090054943,0.00277927615784078,0.067066,0.000309088775269485,0.00460872536411125
2.5,250,0.2787096,0.00129917096195772,0.00466137858888866,0.2985748,0.000799253407564433,0.00267689506135291,0.0793348,0.000353827677277761,0.00445993028630261
3,250,0.4045236,0.00178540495713823,0.00441359900173495,0.3476384,0.000908908361877245,0.00261452233664994,0.090898,0.000396804359640515,0.00436538053247062
3.5,250,0.5476024,0.00232001102771266,0.0042366706714811,0.3937204,0.00100826188157956,0.00256085760752951,0.1015836,0.000437669258977681,0.00430846375770972
4,250,0.7096064,0.0029173658917609,0.00411124518008984,0.43793,0.00110475393504435,0.00252267242491803,0.111794,0.000478321611312928,0.00427859823705143
4.5,250,0.8865652,0.00356252808759377,0.00401834866470483,0.479416,0.0011901303811778,0.00248245861877325,0.121102,0.000512230100127184,0.00422974104578937
5,250,1.0806812,0.00423008043205922,0.00391427224981727,0.5188744,0.00126658092439618,0.00244101640858785,0.1297488,0.000543824291033839,0.00419136277972389
5.5,250,1.2911736,0.00493053930589726,0.00381864941003848,0.5562124,0.00132868639285294,0.00238881116791524,0.1375988,0.000572180109833205,0.00415832194636294
6,250,1.520812,0.00564658121116126,0.0037128726043464,0.5917804,0.00138004656542551,0.00233202479403764,0.1447268,0.000597576159617363,0.00412899448904669
6.5,250,1.7626876,0.00640767398523008,0.00363517278117239,0.6245324,0.00143583971336701,0.00229906360881679,0.150638,0.000620126397873659,0.00411666643127005
7,250,2.0242496,0.00722979268142975,0.00357159150799869,0.6555088,0.00148789548276231,0.00226983296450377,0.155812,0.000643408708051723,0.00412939124105796
7.5,250,2.3020632,0.00813702594361125,0.00353466661715076,0.684302,0.00152232782654601,0.00222464325187711,0.1600556,0.000666581351029156,0.00416468621547235
8,250,2.5972924,0.00901704696854177,0.00347171037367289,0.7111444,0.00155102888046802,0.00218103226358531,0.1634664,0.000692336864067227,0.00423534661598486
8.5,250,2.9049488,0.00998883081046751,0.00343855657988447,0.7356816,0.00156330777955144,0.00212497876737903,0.1659848,0.000715300186477006,0.00430943186651432
9,250,3.2312764,0.0110591277165508,0.00342252606943522,0.7585176,0.00156463058277992,0.00206274789507839,0.1678432,0.000739519542704472,0.00440601431993951
9.5,250,3.5701788,0.0121873345575546,0.00341364823452388,0.779238,0.00156415299202612,0.00200728531209479,0.1689384,0.000767201409019314,0.00454130860135596
10,250,3.926442,0.0133824846329847,0.00340829805533474,0.7983472,0.00155925999871406,0.00195311012390858,0.1694328,0.000796358862208424,0.00470014579354425
10.5,250,4.295816,0.0145633134088855,0.00339011573328221,0.8157072,0.00155268616060399,0.0019034846824988,0.1693472,0.000823711226960704,0.00486403806476106
11,250,4.679128,0.0157467203861448,0.00336531088402471,0.8314444,0.00154224346121237,0.00185489668486837,0.1687468,0.000856207323891829,0.00507391739512589
11.5,250,5.075898,0.0169369236599767,0.00333673443792146,0.8457008,0.00152371787234235,0.00180172216029871,0.167714,0.000884906471454746,0.00527628266844
12,250,5.4932032,0.0181890602278352,0.00331119377266713,0.8588348,0.00149869502224092,0.0017450329472454,0.1662564,0.000912611522432058,0.00548918130328852
12.5,250,5.9054724,0.0194898597578614,0.00330030494391293,0.8701856,0.00146865773249596,0.00168775228238201,0.164614,0.000937781065908191,0.00569684878508627
13,250,6.3372004,0.0208592923683702,0.00329156268568849,0.8806516,0.00143885325127507,0.0016338507206199,0.1626636,0.000967604264725573,0.00594849901714688
13.5,250,6.7793892,0.0222977100271268,0.00328904409664617,0.8900212,0.00140942994049717,0.00158359142512243,0.1604936,0.000994079803362925,0.00619389061846033
14,250,7.2322516,0.0237720154715414,0.00328694530919546,0.8984296,0.00138176995873351,0.00153798356458148,0.1581048,0.00102029337568762,0.00645327261213838
14.5,250,7.6929936,0.0252803842883576,0.00328615693744469,0.9059512,0.0013480836362279,0.00148803118338814,0.1555992,0.00104637696025923,0.00672482223725592
15,250,8.1658176,0.0268436788402586,0.00328732285671659,0.9127996,0.0013153966561068,0.00144105744142176,0.1529528,0.00107656036120447,0.00703851358853493
15.5,250,8.6436104,0.028459946342566,0.00329259939140316,0.918932,0.00128471103258413,0.00139804798677609,0.1502792,0.00110502054998096,0.00735311706464341
16,250,9.1348192,0.0300928690619638,0.00329430374078601,0.924534,0.00125161041678279,0.00135377435203334,0.1474708,0.00113162880068105,0.00767357877411019
16.5,250,9.629774,0.0318169089048294,0.00330401408224423,0.9295556,0.00121630752527717,0.00130848281186964,0.1447232,0.00115597780956109,0.00798750863414497
17,250,10.1344024,0.0336380516807421,0.00331919439874837,0.9341136,0.0011845950507069,0.00126814881049468,0.1419304,0.00117874104066311,0.00830506389514233
17.5,250,10.6469088,0.0354845583611622,0.00333285078586962,0.9382728,0.00115419254394256,0.00123012469714838,0.139098,0.00120060004241788,0.00863132498251506
18,250,11.171812,0.0373378362884351,0.00334214685034398,0.942128,0.00112426747891727,0.00119332774200244,0.1361864,0.00122572037574838,0.00900031409706389
18.5,250,11.6950568,0.0391982436223159,0.00335169330877605,0.9455756,0.00109599025780749,0.00115907205918542,0.1334004,0.00125029741162471,0.00937251621153089
19,250,12.2304312,0.0410485946976596,0.00335626716886806,0.9488,0.00107044192352812,0.00112820607454482,0.13053,0.00127553704005891,0.00977198375897427
19.5,250,12.7728064,0.042880672962481,0.00335718491454477,0.951766,0.00104344584755546,0.00109632603765574,0.1277088,0.00129843409355392,0.0101671466144379
20,250,13.3240556,0.0447652862723182,0.00335973427432397,0.9545,0.00101532348978819,0.00106372288086767,0.124948,0.00131716263652543,0.0105416864337599
20.5,250,13.8770608,0.0467205334436982,0.00336674560391767,0.9570008,0.000985751969401135,0.00103004299411363,0.1222996,0.00133570026422878,0.0109215423781335
21,250,14.4416704,0.0486831563079744,0.00337101976153495,0.9593676,0.000957179260122141,0.000997718976669778,0.1195648,0.00135434218344078,0.0113272650766846
21.5,250,15.0084208,0.050621174117633,0.00337285146733313,0.9615632,0.000927808988754106,0.000964896523446515,0.1168928,0.00137237523954577,0.0117404599731187
22,250,15.5847044,0.0525864278943028,0.00337423325746896,0.9636672,0.000899967105898333,0.000933898244018612,0.1141596,0.00139119853976806,0.0121864349539422
22.5,250,16.1654728,0.0545457624870133,0.00337421386691599,0.965656,0.000874508499696697,0.000905610796905623,0.1114648,0.00141064736245617,0.0126555411435375
23,250,16.7525404,0.056495192364257,0.00337233583774894,0.9675336,0.000848895484475745,0.000877380883181467,0.108764,0.0014311133370939,0.0131579689703753
23.5,250,17.3457456,0.0585087829511511,0.00337309126401295,0.9693168,0.000823600577664551,0.00084967120931418,0.1061096,0.00145380747722797,0.0137009985640128
24,250,17.9552092,0.0605761919077752,0.00337373913236139,0.9710436,0.000800723092628488,0.000824600556173263,0.103352,0.00147627704894555,0.014283971756188
24.5,250,18.5506396,0.0626088924700782,0.00337502608104565,0.9725944,0.000778552589808863,0.000800490512601001,0.1008932,0.00149689760254323,0.014836456793354
25,250,19.1623256,0.0646272404402789,0.00337261988911612,0.9741008,0.000755768311380845,0.000775862530223613,0.098308,0.00151841887668809,0.0154455270851619
