parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,250,0.7532264,0.00713979090753835,0.00947894405657894,0.2677752,0.000555917252106916,0.00207605951599295,0.105328,0.00100685859803657,0.00955926817215334
2,250,1.6911588,0.0109411444389854,0.00646961387599165,0.4662812,0.00100519675201856,0.0021557737091235,0.1121392,0.000796765783879144,0.00710514952736549
3,250,2.653348,0.015294318496411,0.00576415852591181,0.603214,0.00140413517125032,0.00232775627099225,0.125884,0.000685302951887018,0.00544392418327204
4,250,3.8003576,0.0212559083274143,0.00559313374283892,0.7062936,0.00166749703521236,0.0023609119992201,0.1404052,0.000859248626046031,0.00611977780058026
5,250,5.054226,0.0281746516425665,0.00557447404262622,0.7798276,0.00174972669269909,0.00224373527264115,0.144118,0.00104351054792028,0.00724066770230145
6,250,6.3407924,0.0341437901083267,0.00538478284012684,0.8345388,0.00170621428112981,0.00204449964594793,0.1360524,0.00116335823352205,0.0085508100814249
7,250,7.5544028,0.0396576828579603,0.00524961190287078,0.8728132,0.00164624380806637,0.00188613532433557,0.1262272,0.00123083064028112,0.0097509145436255
8,250,8.865512,0.0462535409251189,0.00521724418455685,0.9044648,0.00157045732818896,0.00173633880300146,0.113088,0.00133970586775111,0.0118465784853486
9,250,10.1626776,0.0506347911610433,0.00498242620242556,0.9277692,0.00145083973325819,0.00156379381128215,0.1029616,0.0014356180008997,0.0139432370990709
10,250,11.401052,0.0546819004137648,0.00479621533291531,0.945184,0.00133087741511601,0.00140806172672835,0.091458,0.00152309380606669,0.0166534781655699
11,250,12.4834556,0.0577415783879629,0.0046254482923753,0.9576308,0.00118533039148002,0.00123777388058114,0.0818368,0.00161028077755175,0.0196767319537391
12,250,13.5438236,0.0603000600470343,0.00445221835634616,0.9675716,0.00104132837391753,0.00107622875032455,0.0720432,0.00166917794646994,0.0231691255589693
13,250,14.5108648,0.0628383583835037,0.00433043510842329,0.9748348,0.000931908042321946,0.000955965095134012,0.0645572,0.00181248927353974,0.0280757107424073
14,250,15.4043508,0.0642581134995543,0.00417142626351733,0.9804032,0.000820841827589057,0.000837249233365473,0.057054,0.00186232271952857,0.0326414049764884
16,250,16.8297404,0.0640612163691483,0.00380642926430097,0.987088,0.000646485970743273,0.000654942589458359,0.0481264,0.00203281973971984,0.0422391813998105
18,250,17.8317552,0.0627234737274365,0.0035175154113509,0.9905176,0.000523276502188764,0.000528285920602283,0.0424488,0.00212476879568126,0.050054861284212
20,250,18.341332,0.0620372506166836,0.00338237433446402,0.9918628,0.000470794985387576,0.000474657367316908,0.0402456,0.00218265071840749,0.0542332756477104
