DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,5.975,0.00827341201194594,0.78352,0.00209983007937621,0.08941,0.0412235977324107,0.28018,0.107855783447822,0.70458,0.0449586278958513,0.13034,0.0370637290935696,0.14568,0.019928290772279
0.1,10,5.979,0.00918724406941749,0.78273,0.00201712577524135,0.08629,0.0431892618200722,0.26527,0.0965045620681789,0.71774,0.0338494162396559,0.1278,0.0382018543958716,0.14442,0.0202674202466797
0.2,10,6.015,0.00903876455392151,0.78167,0.00205619557395392,0.08698,0.0443902254961843,0.25306,0.0798599061480801,0.72775,0.0307247948326409,0.12932,0.0402721697281661,0.14636,0.0284066895237641
0.3,10,6.086,0.0074714507124457,0.78021,0.00177968664782558,0.09201,0.0402370400202976,0.24857,0.0870750892891176,0.73755,0.0311803648885959,0.13482,0.029283279611246,0.15016,0.011029718638784
0.4,10,6.177,0.0073133538545362,0.77822,0.00197735660331141,0.09718,0.037078349532094,0.2556,0.084434856145409,0.73425,0.0320299489366111,0.13969,0.0285776817510577,0.15279,0.0191997177138835
0.5,10,6.264,0.00643284847433253,0.77635,0.00212004169099095,0.09873,0.0398902526969325,0.2789,0.103831339447695,0.71348,0.0427933129450248,0.13998,0.032331383737678,0.15123,0.0244528926221565
0.6,10,6.358,0.00799663413198149,0.7745,0.00202593739324055,0.09945,0.0371755708737885,0.28052,0.10899786456778,0.71365,0.0450845612814264,0.14003,0.029689959373926,0.14966,0.0233852913182374
0.7,10,6.467,0.00846508731720794,0.77255,0.00218679284499165,0.09959,0.0333546907255151,0.29396,0.131654606388895,0.70097,0.0550844906249111,0.1391,0.0272571744008233,0.14753,0.0191482895214172
0.8,10,6.597,0.00894664121909792,0.77049,0.00242294326637714,0.09917,0.0312816907195514,0.30021,0.118911004405982,0.69342,0.0508659498120623,0.13781,0.0250622988530873,0.14532,0.0205196874459952
0.9,10,6.744,0.00848095976894997,0.76834,0.00246157882551136,0.09671,0.0281270447203424,0.31024,0.121626315022792,0.68246,0.0556900117404557,0.13403,0.0261840345494953,0.14151,0.0294036657452629
1,10,6.918,0.0083063932769587,0.76582,0.00273471270038663,0.09524,0.0319248315960699,0.32898,0.124400827023416,0.66383,0.0613396928154102,0.13068,0.0319973599571663,0.13618,0.0380945330605007
