DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,7.615,0.00799557719010842,0.77301,0.00214897127425492,0.11545,0.0154217256232989,0.22117,0.045682443946771,0.77883,0.0129727747104083,0.16628,0.0136389556107159,0.17133,0.00636044892988424
0.1,10,7.554,0.00779547877677795,0.77321,0.00209797530880373,0.11479,0.015969750398735,0.21386,0.0302842355916308,0.78614,0.00823846468011571,0.16536,0.0142970736595268,0.17125,0.00320217258610429
0.2,10,7.538,0.00804510151810725,0.7733,0.00207499699874632,0.11397,0.0163432636724554,0.21335,0.029723890507892,0.78665,0.00806151660822317,0.16404,0.0146002011092737,0.17019,0.00335300797050223
0.3,10,7.569,0.00830125397340779,0.77325,0.00207968444763367,0.11324,0.0170276221931311,0.21303,0.0292173977017692,0.7868,0.00789495895371543,0.16275,0.0152716372107688,0.16912,0.00379610726162332
0.4,10,7.645,0.00857361971770444,0.77293,0.00209314476999856,0.1129,0.0176645357396412,0.21237,0.0299707675313225,0.78736,0.00822519708509288,0.1619,0.0156238760296099,0.16831,0.00448486384754621
0.5,10,7.776,0.00867638136526549,0.77209,0.00220900466395729,0.11315,0.0171154457800341,0.21522,0.04798038245778,0.78452,0.0132526725092396,0.1616,0.0146306221169899,0.16764,0.00583858079613504
0.6,10,7.944,0.00834830882151092,0.77046,0.0024083777005482,0.11386,0.0174877562800907,0.23574,0.0939494259628646,0.76393,0.0289624021585706,0.16113,0.0163892539444395,0.16534,0.0147269990723727
0.7,10,8.071,0.00830617414502202,0.76862,0.00247724544143935,0.11306,0.0173151122156732,0.3248,0.0707009756378006,0.67503,0.0339393819767024,0.15649,0.0168673511411925,0.15416,0.0182748659327807
0.8,10,8.183,0.00947412291160525,0.76687,0.0026542110255076,0.11431,0.0188236314020558,0.39734,0.0582165610205417,0.60249,0.038636129387574,0.15716,0.0183791823850781,0.14773,0.00891335951942701
0.9,10,8.305,0.010508807966465,0.76481,0.00290880603495624,0.11866,0.0181899039448516,0.41006,0.0334418379573709,0.5898,0.0234108204733047,0.16373,0.0184790958515682,0.14986,0.00891156737305268
1,10,8.48,0.0121866016980517,0.76215,0.00303129028832912,0.12447,0.0164016007641146,0.39553,0.0281568351401342,0.6043,0.0185201013666274,0.17222,0.0174882779946238,0.15581,0.0101979573750248
