DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,9.153,0.00364033650169344,0.94442,0.00200659890781721,0.03493,0.0321367358724469,0.38328,0.137323059176386,0.61672,0.0853437250634411,0.07399,0.023845801180032,0.08856,0.0181133274937346
0.1,10,9.117,0.00384640039846827,0.94311,0.00199924625305407,0.03609,0.0307477482386206,0.37786,0.136866959770727,0.62214,0.0831268676165604,0.07664,0.0218844284062987,0.09159,0.0170675313846128
0.2,10,9.096,0.00396284137779274,0.94179,0.00201737362919047,0.03726,0.0305642990132201,0.3762,0.138396763899716,0.6238,0.0834640310661642,0.07921,0.0218113959756065,0.0945,0.0170163983060239
0.3,10,9.087,0.00399080160071907,0.94046,0.00208251127239981,0.03843,0.0306958661937399,0.37974,0.139750971880145,0.62026,0.085559336506894,0.08173,0.0215033239528529,0.09728,0.0161402333224022
0.4,10,9.093,0.00405237343866255,0.93919,0.00213514588511675,0.03953,0.0298691415576877,0.38331,0.140089857950071,0.61669,0.0870742892715007,0.08404,0.0210078487564315,0.09991,0.0155447831729326
0.5,10,9.113,0.00418096721769979,0.93793,0.00220715792557677,0.04063,0.029971546448786,0.38816,0.141290651631609,0.61184,0.0896367993876266,0.08616,0.0208387477744078,0.10213,0.0152326984192303
0.6,10,9.148,0.00406268281599223,0.93671,0.00227562372515864,0.04168,0.0299863714074044,0.39383,0.143646208133614,0.60617,0.0933272615755667,0.08805,0.0209167112055727,0.10401,0.0152561600869151
0.7,10,9.2,0.00422521312609583,0.9355,0.00233074430419325,0.04268,0.0299249215135811,0.39912,0.143382983192538,0.60088,0.0952386770267038,0.08983,0.0210842920222997,0.10566,0.0154143001798122
0.8,10,9.268,0.0046204143910259,0.93437,0.00240923799521443,0.04362,0.0294785787758268,0.40456,0.142689541042203,0.59544,0.0969476029894424,0.09144,0.0209389418532091,0.10706,0.0155229101026694
0.9,10,9.354,0.00482084676735876,0.93329,0.00243837509120285,0.04449,0.0285843935405762,0.40709,0.137542788763076,0.59291,0.0944364134144484,0.09285,0.0209261604873325,0.1082,0.0157178903417902
1,10,9.459,0.00503264102824343,0.93228,0.00250601098638886,0.04531,0.0275134549738476,0.41051,0.131633546552636,0.58949,0.0916671821325594,0.09405,0.0208752610542221,0.10909,0.0160263151750549
