facility,accessibility_month_1,accessibility_month_2,accessibility_month_3,accessibility_month_4,accessibility_month_5,accessibility_month_6,accessibility_month_7,accessibility_month_8,accessibility_month_9,accessibility_month_10,accessibility_month_11,accessibility_month_12
buli,0,0,0,0.75,1,1,1,1,1,1,1,0.5
chingi,1,1,1,1,1,1,1,1,1,1,1,1
chifuwe south,0.75,0.75,0.75,0.5,1,1,1,1,1,1,1,1
afumba,1,1,1,1,1,1,1,1,1,1,1,1
army,1,1,1,1,1,1,1,1,1,1,1,1
chibende,1,1,1,1,1,1,1,1,1,1,1,1
chalata,1,1,1,1,1,1,1,1,1,1,1,1
boma,1,1,1,1,1,1,1,1,1,1,1,1
chimba,1,1,1,1,1,1,1,1,1,1,1,1
chibwika,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
chanka,1,1,1,1,1,1,1,1,1,1,1,1
kaanja,1,1,1,1,1,1,1,1,1,1,1,1
