facility,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
buli,44.1,48,50.1,49.4,46.1,40.9,35.2,30.5,27.9,27.2,27.3,27.5,27.6,27,25.9,24.5,23.1,22.2,21.2,19.6,17.2,14.4,12,10.6,10.1,10.1,10.1,10.1,10.6,11.8,14.1,17,20.1,22.2,22.8,21.8,19.5,16.8,14.3,12.6,12.1,13.1,15.7,19.7,24.3,29.2,34.2,39.4
chingi,9.6,13.5,17.7,21.6,24.6,26.4,27.2,26.9,25.8,24.6,23.4,21.9,19.7,16.6,13.4,10.7,8.9,8,7.7,7.7,7.8,7.8,7.9,7.9,8,8.2,8.4,8.6,8.8,8.9,9,9,8.9,8.5,8.1,7.4,6.7,6,5.5,5.1,5,4.9,4.9,5,5.1,5.2,5.5,6.9
chifuwe south,54.6,50.7,45.9,41.2,37.4,35.1,34.5,35,36.1,37.1,37.7,37.9,37.9,37.2,35.7,33,29.6,26.1,23.4,21.8,21,20.4,19.8,19.4,19.4,20,20.9,21.5,21.5,21,20.1,18.9,17.7,16.6,15.5,14.5,14,14.1,15.1,17.4,21.3,26.8,33.5,40.8,47.7,53.1,56.2,56.7
afumba,35.3,47.1,58.9,69.2,77,81.7,82.1,77.9,69.5,58.8,47.2,35.8,25.9,19,16.5,18.6,24.9,33.2,40.7,45.6,47.5,46.8,44.8,43,41.8,40.5,38.3,34.6,29.3,23.4,18.5,15.8,15.3,16.2,17.5,18.1,17.8,16.7,15.1,13.4,12,10.9,10.3,10.2,10.8,12.8,17.3,24.8
army,60.2,65,72,80.3,89,96.6,102,104.8,105.8,106.2,107.4,110,112.8,114.1,112.9,109.6,105.8,103.3,102.4,102.3,101.6,99,94.2,88.1,82.6,79.3,78.9,81.7,87.2,94,100.1,103.6,103.5,99.2,92.2,84.3,76.5,70.3,66.6,65.5,65.6,66.3,66.7,65.8,63.4,60.5,58.3,58
chibende,38.3,39.5,39.9,39.7,38.7,37.5,36.4,35.5,35.1,35,34.9,34.8,34.8,35,35.4,35.8,36,35.9,35.5,35,34.8,34.8,34.7,34.4,33.5,31.8,29.2,26.3,23.5,21.4,20,19.3,19,18.9,19,18.8,18.5,18,17.4,17.3,17.9,19.4,21.8,24.8,28.1,31.2,34,36.4
chalata,52.6,64.8,75.1,81.1,82.5,80.6,77.3,74.5,72.8,72,71.9,72.9,75,77.5,79.8,81.2,81.6,81.2,79.8,76.5,70.8,63.4,55.7,48.6,42.6,37.6,33.7,31.1,29.6,28.8,27.5,25.6,23.3,20.8,18.6,16.7,15.1,13.9,13.3,13.1,13.5,14.5,16.4,18.9,21.9,25.9,32.1,41.1
boma,48.5,45,40.8,36.6,33.3,31.2,30.6,31.1,32.1,33,33.5,33.7,33.6,33.1,31.7,29.3,26.3,23.2,20.8,19.4,18.7,18.2,17.6,17.2,17.3,17.8,18.6,19.1,19.1,18.7,17.8,16.8,15.8,14.7,13.7,12.9,12.4,12.5,13.5,15.5,19,23.8,29.8,36.3,42.4,47.2,49.9,50.4
chimba,27.2,32.2,38.8,45.7,51.4,54.9,56.2,56.4,56.5,56.6,57.3,58.6,60.1,60.6,58.8,54.7,49.6,45.1,42.4,41.3,41.2,41.2,41,40.5,40.1,40.2,40.6,41,40.6,38.6,34.9,30.4,26,22.7,20.6,19.6,19.1,19,19,19.2,19.5,19.7,20,20.1,20.4,21.1,22.2,24.1
chibwika,5.9,8.2,10.8,13.2,15,16.2,16.6,16.4,15.8,15,14.3,13.4,12,10.2,8.2,6.6,5.5,4.9,4.7,4.7,4.8,4.8,4.8,4.9,4.9,5,5.1,5.3,5.4,5.5,5.5,5.5,5.4,5.2,4.9,4.5,4.1,3.7,3.4,3.1,3,3,3,3.1,3.1,3.2,3.4,4.2
chanka,4.9,4.9,5,5.4,5.8,6,6.2,6.2,6.3,6.4,6.5,6.5,6.3,6.1,5.9,5.7,5.6,5.6,5.5,5.5,5.4,5.2,5.1,5.1,5.1,5.1,5,5,5.1,5.3,5.4,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.8,3.7,3.7,3.9,4.3,4.7,4.9,5,5
kaanja,9.9,10.7,11.9,13.3,14.7,16,16.8,17.3,17.5,17.5,17.7,18.2,18.6,18.8,18.6,18.1,17.5,17.1,16.9,16.9,16.8,16.3,15.5,14.5,13.6,13.1,13,13.5,14.4,15.5,16.5,17.1,17.1,16.4,15.2,13.9,12.6,11.6,11,10.8,10.8,10.9,11,10.9,10.5,10,9.6,9.6
