facility,accessibility_month_1,accessibility_month_2,accessibility_month_3,accessibility_month_4,accessibility_month_5,accessibility_month_6,accessibility_month_7,accessibility_month_8,accessibility_month_9,accessibility_month_10,accessibility_month_11,accessibility_month_12
buli,0,0,0,0.75,1,1,1,1,1,1,1,0.5
chibale,1,1,1,1,1,1,1,1,1,1,1,1
chifunda,0,0,0,0,0.5,1,1,1,1,1,1,0.5
chigoma,0,0,0,0,0.5,1,1,1,1,1,1,0.5
chikwa,0,0,0,0,0.5,1,1,1,1,1,1,0.5
chilubanama,1,1,1,1,1,1,1,1,1,1,1,1
fulaza,0,0,0,0,0,0,0,0.75,1,1,1,0.25
kambombo,0,0,0,0.75,1,1,1,1,1,1,1,0.5
kambwili,0,0,0,0.75,1,1,1,1,1,1,1,0.5
kanyelele,1,1,1,1,1,1,1,1,1,1,1,1
kapichilasenga,0,0,0,0,0.5,1,1,1,1,1,1,0.5
lundu,1,1,1,1,1,1,1,1,1,1,1,1
mapamba,0,0,0,0,0,0.75,1,1,1,1,1,0
mphyanakunda,0,0,0,0,0,0,0,0,0,0.75,0.5,0
mulilo,0,0,0,0,1,1,1,1,1,1,1,0.25
nthonkho,0,0,0,0,0.75,1,1,1,1,1,1,0.5
pondo,0,0,0,0,0,0,0,0.75,1,1,1,0.25
sitwe,0,0,0,0,0,0,0.25,1,1,1,0.75,0.25
tembwe,0,0,0,0.75,1,1,1,1,1,1,1,1
chingi,1,1,1,1,1,1,1,1,1,1,1,1
chivombo,1,1,1,1,1,1,1,1,1,1,1,1
chiyeke,1,1,1,1,1,1,1,1,1,1,1,1
lukolwe mission,0,0,0,0,0.5,1,1,1,1,1,0.75,0.75
nguvu,0,0,0,0,0.25,1,1,1,1,1,0.75,0.75
nyatanda,0,0,0,0,0.25,1,1,1,1,1,0.75,0.75
chifuwe south,0.75,0.75,0.75,0.5,1,1,1,1,1,1,1,1
chikonkwelo,1,0.75,0.5,0.75,1,1,1,1,1,1,1,1
dyambombola,0.75,0.75,1,1,1,1,1,1,1,1,1,1
kabompo,1,1,1,1,1,1,1,1,1,1,1,1
kabulamema,1,1,1,1,1,1,1,1,1,1,1,1
kalunga,1,0.75,0.75,0.75,1,1,1,1,1,1,1,1
kasamba,1,1,1,1,1,1,1,1,1,1,1,1
kashinakaji,1,1,1,1,1,1,1,1,1,1,1,1
kayombo,0.75,0.5,0.25,0.5,0.5,1,1,1,1,1,1,0.75
loloma,1,1,1,1,1,1,1,1,1,1,1,1
luansongwa,1,1,1,1,1,1,1,1,1,1,1,1
mayawu,1,1,1,1,1,1,1,1,1,1,1,1
mumbeji,1,1,1,1,1,1,1,1,1,1,1,1
ndungo,0.75,0.75,0.5,0.5,1,1,1,1,1,1,1,0.75
nkulwashi,1,1,1,1,1,1,1,1,1,1,1,1
