district,facility
chama dho,buli
chama dho,chibale
chama dho,chifunda
chama dho,chigoma
chama dho,chikwa
chama dho,chilubanama
chama dho,fulaza
chama dho,kambombo
chama dho,kambwili
chama dho,kanyelele
chama dho,kapichilasenga
chama dho,lundu
chama dho,mapamba
chama dho,mphyanakunda
chama dho,mulilo
chama dho,nthonkho
chama dho,pondo
chama dho,sitwe
chama dho,tembwe
chavuma dho,chingi
chavuma dho,chivombo
chavuma dho,chiyeke
chavuma dho,lukolwe mission
chavuma dho,nguvu
chavuma dho,nyatanda
kabompo dho,chifuwe south
kabompo dho,chikonkwelo
kabompo dho,dyambombola
kabompo dho,kabompo
kabompo dho,kabulamema
kabompo dho,kalunga
kabompo dho,kasamba
kabompo dho,kashinakaji
kabompo dho,kayombo
kabompo dho,loloma
kabompo dho,luansongwa
kabompo dho,mayawu
kabompo dho,mumbeji
kabompo dho,ndungo
kabompo dho,nkulwashi
kabompo dho,saint kalemba
kaoma dho,afumba
kaoma dho,chitwa
kaoma dho,kaaba
kaoma dho,kabilamwandi
kaoma dho,kahare
kaoma dho,kandende
kaoma dho,kaoma urban
kaoma dho,kasabi
kaoma dho,kasimba
kaoma dho,katunda
kaoma dho,longe
kaoma dho,luampa
kaoma dho,luena camp
kaoma dho,lui
kaoma dho,mangango mission hospital
kaoma dho,mayukwayukwa 1
kaoma dho,aha
kaoma dho,mbanyutu
kaoma dho,mulamba
kaoma dho,mulwa
kaoma dho,mwanambuyu
kaoma dho,nakayembe
kaoma dho,namilangi
kaoma dho,njonjolo
kaoma dho,nkenga
kaoma dho,nkeyema
kaoma dho,nyambi 1
kaoma dho,nyambi 2
kaoma dho,saint josephs
kaoma dho,winda
kaoma dho,zns mangango
kasama dho,army
kasama dho,chanda mukulu
kasama dho,chilongoshi
kasama dho,chilubula
kasama dho,chiombo
kasama dho,chisanga
kasama dho,college
kasama dho,kasakula
kasama dho,kasama urban
kasama dho,kateshi
kasama dho,location
kasama dho,lubushi
kasama dho,lukashi
kasama dho,lukashya
kasama dho,lukupa
kasama dho,mbusa
kasama dho,milima
kasama dho,misamfu
kasama dho,misengo
kasama dho,mulanshi
kasama dho,mulenga
kasama dho,mulobola
kasama dho,mumbi mfumu
kasama dho,mumbi mukulu
kasama dho,munkonge
kasama dho,musa
kasama dho,mwamba
kasama dho,mwasha
kasama dho,nkolemfumu
kasama dho,tazara
kasama dho,zns chishimba
milenge dho,chibende
milenge dho,kabange
milenge dho,kapalala
milenge dho,lungo mukuta
milenge dho,lwela
milenge dho,milenge east 7
milenge dho,mulumbi
milenge dho,sokontwe
mkushi dho,chalata
mkushi dho,chembe
mkushi dho,chengelo
mkushi dho,chibefwe
mkushi dho,chikupili
mkushi dho,chimika
mkushi dho,chingombe
mkushi dho,fiwila mission
mkushi dho,kakushi
mkushi dho,kampelembe
mkushi dho,kaundula
mkushi dho,luanshimba
mkushi dho,masansa
mkushi dho,mboroma
mkushi dho,mboshya
mkushi dho,miloso
mkushi dho,mkushi coppermine
mkushi dho,moffat
mkushi dho,munsakamba
mkushi dho,musofu
mkushi dho,nkolonga
mkushi dho,nkumbi
mkushi dho,nshinso
mkushi dho,old mkushi
mkushi dho,twatasha
mufumbwe dho,boma
mufumbwe dho,jivundu
mufumbwe dho,kabanda
mufumbwe dho,kabipupu
mufumbwe dho,kalengwa
mufumbwe dho,kaminzekenzeke
mufumbwe dho,kashima
mufumbwe dho,kinkonge
mufumbwe dho,lubilo
mufumbwe dho,matushi
mufumbwe dho,miluji
mufumbwe dho,mufumbwe
mufumbwe dho,munyambala
mufumbwe dho,mushima
mungwi dho,chimba
mungwi dho,chitimukulu
mungwi dho,kalulu
mungwi dho,kapolyo
mungwi dho,kayambi mission
mungwi dho,makasa
mungwi dho,malole
mungwi dho,mumba
mungwi dho,mungwi baptist
mungwi dho,ndasa
mungwi dho,ngoli
mungwi dho,nseluka
mungwi dho,peleti
mungwi dho,rosa
mwinilunga dho,chibwika
mwinilunga dho,chisengi sengi
mwinilunga dho,chiwoma
mwinilunga dho,ikelenge
mwinilunga dho,jimbe
mwinilunga dho,kafweku
mwinilunga dho,kakoma
mwinilunga dho,kalene (kawota)
mwinilunga dho,kamapanda
mwinilunga dho,kanyihampa
mwinilunga dho,kanyama
mwinilunga dho,kanzenzi
mwinilunga dho,kapundu
mwinilunga dho,katuyola
mwinilunga dho,kayipaka
mwinilunga dho,kazozu
mwinilunga dho,lumwana
mwinilunga dho,lwawu
mwinilunga dho,mukangala
mwinilunga dho,musangila
mwinilunga dho,ntambu sachitolu
mwinilunga dho,nyangombe
mwinilunga dho,sachibondu
mwinilunga dho,sailunga
mwinilunga dho,sakapoti
mwinilunga dho,salujinga
mwinilunga dho,tom ilunga
nakonde dho,chanka
nakonde dho,chilolwa
nakonde dho,chozi
nakonde dho,mwenzo
nakonde dho,nakonde
nakonde dho,ntatumbila
nakonde dho,shem
nakonde dho,waitwika
shangombo dho,kaanja
shangombo dho,kaunga mashi
shangombo dho,mbanda
shangombo dho,mulonga
shangombo dho,mutomena
shangombo dho,nalwashi
shangombo dho,nangweshi
shangombo dho,shangombo
shangombo dho,silowana
shangombo dho,sinjembela
shangombo dho,sioma
shangombo dho,sipuma
shangombo dho,sitoti
